video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames)
01_01_01,78.3,50,"[6.625, 9.618, 24.409, 25.77, 27.593, 30.674, 32.474, 33.626, 37.85, 41.121, 53.53, 54.93, 56.337, 57.825, 59.673, 63.665, 65.225, 68.177]","[331, 481, 1220, 1288, 1380, 1534, 1624, 1681, 1892, 2056, 2676, 2746, 2817, 2891, 2984, 3183, 3261, 3409]","[[6.06476, 10.89809], [24.16892, 42.88177], [52.855, 70.06927]]","[[303, 545], [1208, 2144], [2643, 3503]]"
01_01_02,24.26,50,"[8.129, 8.944, 15.239, 16.045, 17.141, 20.432, 21.325, 19.849]","[406, 447, 762, 802, 857, 1022, 1066, 992]","[[8.097, 9.96059], [15.16892, 18.12726], [19.83559, 22.31476]]","[[405, 498], [758, 906], [992, 1116]]"
01_01_03,19.32,50,"[6.303, 7.194, 5.177]","[315, 360, 259]","[[5.14809, 8.18976]]","[[257, 409]]"
01_01_04,20.4,50,"[3.347, 4.145, 2.687, 6.024, 5.167, 10.002, 10.578, 9.319]","[167, 207, 134, 301, 258, 500, 529, 466]","[[2.60642, 7.00226], [9.25226, 11.58559]]","[[130, 350], [463, 579]]"
01_01_05,17.94,50,[],[],[],[]
01_02_01,61.64,50,"[9.632, 10.936, 12.161, 21.608, 22.985, 24.648, 26, 27.945, 29.736, 31.616, 33.152, 34.85, 37.711, 39.232, 50.466, 51.44, 53.008]","[482, 547, 608, 1080, 1149, 1232, 1300, 1397, 1487, 1581, 1658, 1742, 1886, 1962, 2523, 2572, 2650]","[[9.12952, 13.46285], [21.29618, 40.50452], [50.21285, 54.08785]]","[[456, 673], [1065, 2025], [2511, 2704]]"
01_02_02,30.8,50,"[9.309, 11.942, 12.861, 14.143, 22.239, 21.242, 23.351, 25.302, 24.363, 10.549]","[465, 597, 643, 707, 1112, 1062, 1168, 1265, 1218, 527]","[[9.257, 15.12726], [21.184, 26.31476]]","[[463, 756], [1059, 1316]]"
01_02_03,21.14,50,"[5.199, 4.232, 6.16, 7.431]","[260, 212, 308, 372]","[[4.21059, 8.39809]]","[[211, 420]]"
01_02_04,23.92,50,"[6.552, 7.476, 5.555, 8.193, 10.531, 11.547, 12.657]","[328, 374, 278, 410, 527, 577, 633]","[[5.50226, 9.16892], [10.46059, 13.64809]]","[[275, 458], [523, 682]]"
01_02_05,24.3,50,"[13.768, 14.443, 15.366, 16.181, 16.781, 17.422]","[688, 722, 768, 809, 839, 871]","[[13.66892, 18.48142]]","[[683, 924]]"
01_03_01,169.74,50,"[33.827, 34.936, 57.716, 58.923, 61.915, 72.603, 73.969, 76.035, 78.363, 80.274, 85.515, 86.115, 88.651, 89.827, 91.299, 93.691, 127.107, 128.291, 129.666, 130.923, 132.242, 134.827, 136.474, 153.099, 154.411]","[1691, 1747, 2886, 2946, 3096, 3630, 3698, 3802, 3918, 4014, 4276, 4306, 4433, 4491, 4565, 4685, 6355, 6415, 6483, 6546, 6612, 6741, 6824, 7655, 7721]","[[32.76355, 36.51355], [57.01355, 63.13855], [72.139, 95.26355], [126.471, 138.13855], [152.38855, 156.01355]]","[[1638, 1826], [2851, 3157], [3607, 4763], [6324, 6907], [7619, 7801]]"
