video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_01_01,83.66,50,"[16.292, 17.585, 18.611, 19.577, 20.772, 45.256, 46.519, 47.793, 48.88, 49.984, 53.39, 54.232, 55.44, 56.8, 58.143, 51.848, 70.069, 70.846, 72.461, 73.771, 74.782]","[815, 879, 931, 979, 1039, 2263, 2326, 2390, 2444, 2499, 2670, 2712, 2772, 2840, 2907, 2592, 3503, 3542, 3623, 3689, 3739]","[[16.184, 21.79392], [45.16892, 59.16892], [69.97771, 75.85271]]","[[809, 1090], [2258, 2958], [3499, 3793]]",01,01,01,"[5.609919999999999, 14.0, 5.875]",25.48492,0.3
01_01_02,60.64,50,[],[],[],[],01,01,02,[],0.0,0.0
01_01_03,50.2,50,[],[],[],[],01,01,03,[],0.0,0.0
01_01_04,58.7,50,"[44.128, 44.855, 45.823, 46.761, 47.817, 48.896, 49.99]","[2206, 2243, 2291, 2338, 2391, 2445, 2500]","[[44.109, 50.98142]]","[[2205, 2549]]",01,01,04,[6.872419999999998],6.872419999999998,0.12
01_01_05,51.76,50,[],[],[],[],01,01,05,[],0.0,0.0
02_01_01,77.0,50,"[25.251, 25.866, 26.786, 33.059, 33.835, 34.842, 36.378, 37.361, 38.409, 39.508, 41.275, 42.858, 44.138, 46.77, 48.443, 50.026, 51.826, 53.705, 55.21, 62.907, 63.738, 65.336, 66.986]","[1263, 1293, 1339, 1653, 1692, 1742, 1819, 1868, 1920, 1975, 2064, 2143, 2207, 2338, 2422, 2501, 2591, 2685, 2760, 3145, 3187, 3267, 3349]","[[23.62839, 27.85542], [32.725, 56.30542], [61.55542, 68.00542]]","[[1181, 1393], [1636, 2815], [3078, 3400]]",02,01,01,"[4.227029999999999, 23.580419999999997, 6.450000000000003]",34.25745,0.44
02_01_02,38.9,50,[],[],[],[],02,01,02,[],0.0,0.0
02_01_03,41.0,50,[],[],[],[],02,01,03,[],0.0,0.0
02_01_04,43.88,50,[],[],[],[],02,01,04,[],0.0,0.0
02_01_05,29.1,50,[],[],[],[],02,01,05,[],0.0,0.0
03_01_01,273.1,50,"[33.046, 33.525, 34.597, 35.797, 37.765, 39.885, 40.637, 41.924, 43.333, 59.806, 60.579, 61.276, 62.397, 63.629, 65.123, 66.396, 68.269, 69.644, 71.901, 74.596, 84.099, 84.3, 97.307, 97.97, 98.542, 99.772, 101.94, 103.155, 104.986, 106.74, 107.948, 110.178, 112.125, 113.492, 114.62, 115.699, 117.956, 119.149, 120.028, 122.38, 123.588, 124.869, 126.34, 130.141, 131.38, 132.429, 133.474, 135.034, 138.117, 139.292, 140.685, 142.626, 144.651, 146.962, 148.779, 150.036, 154.059, 155.235, 156.81, 158.836, 170.115, 171.1, 174.876, 176.074, 177.604, 178.65, 179.804, 180.882, 182.372, 183.652, 185.308, 186.781, 188.29, 189.811, 191.644, 193.396, 195.242, 197.359, 198.163, 199.245, 201.38, 203.013, 205.836, 209.195, 213.788, 247.493, 248.453, 250.376, 251.88, 252.798, 254.048, 255.542, 259.196, 259.934]","[1652, 1676, 1730, 1790, 1888, 1994, 2032, 2096, 2167, 2990, 3029, 3064, 3120, 3181, 3256, 3320, 3413, 3482, 3595, 3730, 4205, 4215, 4865, 4898, 4927, 4989, 5097, 5158, 5249, 5337, 5397, 5509, 5606, 5675, 5731, 5785, 5898, 5957, 6001, 6119, 6179, 6243, 6317, 6507, 6569, 6621, 6674, 6752, 6906, 6965, 7034, 7131, 7233, 7348, 7439, 7502, 7703, 7762, 7840, 7942, 8506, 8555, 8744, 8804, 8880, 8932, 8990, 9044, 9119, 9183, 9265, 9339, 9414, 9491, 9582, 9670, 9762, 9868, 9908, 9962, 10069, 10151, 10292, 10460, 10689, 12375, 12423, 12519, 12594, 12640, 12702, 12777, 12960, 12997]","[[32.543, 44.34714], [59.022, 75.69089], [81.462, 86.00339], [96.50903, 160.00903], [168.66, 214.88177], [242.734, 261.06927]]","[[1627, 2217], [2951, 3785], [4073, 4300], [4825, 8000], [8433, 10744], [12137, 13053]]",03,01,01,"[11.804140000000004, 16.668889999999998, 4.541389999999993, 63.5, 46.22176999999999, 18.33527000000001]",161.07146,0.59
03_01_02,142.7,50,"[40.77, 41.789, 43.037, 44.314, 46.173, 47.193, 68.299, 69.21, 70.271, 71.473, 72.682, 73.858, 75.218, 76.4, 77.586, 78.994, 80.273, 81.715, 83.109, 84.692, 86.07, 87.515, 88.502, 105.946, 106.669, 107.709, 108.782, 109.941, 111.021, 112.132, 113.413, 114.586, 115.715, 116.917, 118.26, 119.54, 121.043, 132.848, 134.251, 135.53, 136.583, 137.473]","[2039, 2089, 2152, 2216, 2309, 2360, 3415, 3460, 3514, 3574, 3634, 3693, 3761, 3820, 3879, 3950, 4014, 4086, 4155, 4235, 4304, 4376, 4425, 5297, 5333, 5385, 5439, 5497, 5551, 5607, 5671, 5729, 5786, 5846, 5913, 5977, 6052, 6642, 6713, 6776, 6829, 6874]","[[40.659, 48.16892], [68.274, 89.50452], [105.859, 122.09714], [132.79, 138.53464]]","[[2033, 2408], [3414, 4475], [5293, 6105], [6640, 6927]]",03,01,02,"[7.509920000000001, 21.23052, 16.23814, 5.744640000000004]",50.723220000000005,0.36
