video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_05_01,91.66,50,"[6.424, 6.806, 7.621, 12.197, 12.581, 13.263, 14.477, 15.126, 15.854, 16.663, 17.407, 18.215, 19.182, 20.063, 21.045, 22.056, 29.312, 29.734, 30.649, 31.839, 32.421, 33.368, 34.264, 35.142, 36.318, 37.101, 38.005, 39.429, 46.525, 47.67, 48.887, 50.415, 52.049, 53.582, 55.142, 63.312, 63.781, 64.533, 65.373, 66.325, 67.494, 70.689, 71.534, 72.37, 73.495, 74.247, 75.726, 83.33, 84.053, 85.112, 86.153, 4.899]","[321, 340, 381, 610, 629, 663, 724, 756, 793, 833, 870, 911, 959, 1003, 1052, 1103, 1466, 1487, 1532, 1592, 1621, 1668, 1713, 1757, 1816, 1855, 1900, 1971, 2326, 2384, 2444, 2521, 2602, 2679, 2757, 3166, 3189, 3227, 3269, 3316, 3375, 3534, 3577, 3618, 3675, 3712, 3786, 4166, 4203, 4256, 4308, 245]","[[4.877, 8.58559], [11.863, 23.08559], [29.047, 40.53959], [46.094, 56.25542], [63.20542, 76.75542], [82.94427, 87.19427]]","[[244, 429], [593, 1154], [1452, 2027], [2305, 2813], [3160, 3838], [4147, 4360]]",01,05,01,"[3.70859, 11.22259, 11.492589999999996, 10.16142, 13.550000000000004, 4.25]",54.38519,0.59
01_05_02,91.14,50,"[9.28, 10.344, 11.312, 12.16, 13.144, 14.016, 15.026, 16.045, 17.216, 18.396, 19.409, 20.472, 21.44, 22.592, 24.392, 25.608, 26.448, 27.432, 28.624, 29.824, 30.842, 32.312, 33.762, 34.996, 41.269, 42.176, 43.432, 44.785, 45.896, 46.776, 47.528, 48.68, 49.784, 51.013, 52.131, 52.952, 53.983, 55.04, 56.192, 57.168, 58.144, 64.512, 65.512, 66.416, 63.658, 67.55, 68.759, 69.966, 71.132, 72.454, 73.702, 75.071, 76.654, 77.952, 79.238]","[464, 517, 566, 608, 657, 701, 751, 802, 861, 920, 970, 1024, 1072, 1130, 1220, 1280, 1322, 1372, 1431, 1491, 1542, 1616, 1688, 1750, 2063, 2109, 2172, 2239, 2295, 2339, 2376, 2434, 2489, 2551, 2607, 2648, 2699, 2752, 2810, 2858, 2907, 3226, 3276, 3321, 3183, 3378, 3438, 3498, 3557, 3623, 3685, 3754, 3833, 3898, 3962]","[[9.273, 35.97523], [41.28959, 59.18244], [63.61101, 80.18244]]","[[464, 1799], [2064, 2959], [3181, 4009]]",01,05,02,"[26.702230000000004, 17.892850000000003, 16.57143]",61.16651000000001,0.67
01_05_03,96.94,50,"[6.8, 8.275, 9.109, 10.211, 11.378, 12.416, 13.688, 14.72, 15.688, 16.745, 17.792, 18.968, 20.272, 28.32, 29.185, 30.304, 31.364, 32.448, 33.424, 34.544, 35.618, 39.776, 40.974, 41.992, 43.136, 44.12, 45.288, 46.896, 55.105, 55.992, 56.896, 58.074, 59.176, 60.111, 60.994, 61.811, 62.857, 64.248, 65.848, 67.104, 67.976, 69.304, 84.872, 85.687, 86.569, 87.191, 88.203, 89.12, 89.744, 90.657, 92.137]","[340, 414, 455, 511, 569, 621, 684, 736, 784, 837, 890, 948, 1014, 1416, 1459, 1515, 1568, 1622, 1671, 1727, 1781, 1989, 2049, 2100, 2157, 2206, 2264, 2345, 2755, 2800, 2845, 2904, 2959, 3006, 3050, 3091, 3143, 3212, 3292, 3355, 3399, 3465, 4244, 4284, 4328, 4360, 4410, 4456, 4487, 4533, 4607]","[[6.75226, 21.25226], [28.30271, 36.62771], [39.798, 47.93244], [55.008, 70.30542], [84.635, 93.19427]]","[[338, 1063], [1415, 1831], [1990, 2397], [2750, 3515], [4232, 4660]]",01,05,03,"[14.5, 8.325, 8.134439999999998, 15.297419999999995, 8.559269999999998]",54.81612999999999,0.57
01_05_04,98.72,50,"[5.417, 6.52, 3.992, 11.344, 12.36, 13.328, 14.335, 15.416, 16.623, 17.632, 18.866, 20.039, 33.239, 34.191, 35.116, 38.808, 40.008, 38.349, 41.229, 42.478, 43.582, 44.534, 45.757, 47.069, 48.269, 49.837, 51.085, 90.892, 91.852, 90.08, 93.085, 94.384]","[271, 326, 200, 567, 618, 666, 717, 771, 831, 882, 943, 1002, 1662, 1710, 1756, 1940, 2000, 1917, 2061, 2124, 2179, 2227, 2288, 2353, 2413, 2492, 2554, 4545, 4593, 4504, 4654, 4719]","[[3.98142, 7.50226], [11.29392, 21.00226], [38.33785, 52.08785], [33.12952, 36.08785], [90.063, 95.3919]]","[[199, 375], [565, 1050], [1917, 2604], [1656, 1804], [4503, 4770]]",01,05,04,"[3.5208399999999997, 9.70834, 13.75, 2.9583300000000037, 5.328900000000004]",35.26641000000001,0.36
01_05_05,114.76,50,"[6.715, 7.503, 10.314, 8.396, 9.231, 16.256, 17.014, 17.918, 31.262, 31.829, 32.596, 33.159, 34.031, 52.379, 53.166, 53.867, 54.686, 55.27, 56.07, 57.006, 58.502, 59.414, 60.426, 61.28, 62.145, 63.185, 64.359, 65.84, 66.464, 67.142, 67.943, 68.928, 69.978, 91.752, 92.26, 93.11, 93.777, 94.361, 95.168, 96.049, 96.88, 97.522, 98.704, 99.592]","[336, 375, 516, 420, 462, 813, 851, 896, 1563, 1591, 1630, 1658, 1702, 2619, 2658, 2693, 2734, 2764, 2804, 2850, 2925, 2971, 3021, 3064, 3107, 3159, 3218, 3292, 3323, 3357, 3397, 3446, 3499, 4588, 4613, 4656, 4689, 4718, 4758, 4802, 4844, 4876, 4935, 4980]","[[6.582, 11.33559], [16.16892, 18.98142], [31.136, 35.09337], [52.322, 70.97974], [91.702, 100.63883]]","[[329, 567], [808, 949], [1557, 1755], [2616, 3549], [4585, 5032]]",01,05,05,"[4.75359, 2.8125, 3.957370000000001, 18.657740000000004, 8.93683]",39.118030000000005,0.34
02_05_01,138.04,50,"[8.026, 8.291, 8.979, 10.042, 11.523, 12.57, 13.699, 14.978, 15.989, 16.772, 17.578, 18.499, 19.637, 20.663, 22.138, 23.114, 24.037, 25.099, 26.074, 26.989, 28.109, 29.18, 30.381, 31.427, 32.343, 33.134, 33.987, 35.597, 44.886, 45.603, 46.955, 48.782, 51.77, 52.954, 53.897, 56.282, 57.631, 60.398, 61.172, 61.997, 62.763, 63.974, 65.25, 67.093, 67.802, 68.725, 70.211, 72.797, 74.186, 75.299, 76.397, 81.083, 81.877, 83.003, 84.251, 85.699, 86.995, 88.202, 89.467, 90.347, 98.571, 99.194, 100.226, 101.282, 102.437, 104.562, 105.282, 106.42, 111.786, 112.971, 113.514, 114.563, 115.643, 116.626, 117.914, 119.147, 120.277, 121.234, 122.46, 123.267, 124.154, 125.29, 126.283, 127.41, 128.669, 129.971, 131.051, 132.027, 133.027, 134.421]","[401, 415, 449, 502, 576, 628, 685, 749, 799, 839, 879, 925, 982, 1033, 1107, 1156, 1202, 1255, 1304, 1349, 1405, 1459, 1519, 1571, 1617, 1657, 1699, 1780, 2244, 2280, 2348, 2439, 2588, 2648, 2695, 2814, 2882, 3020, 3059, 3100, 3138, 3199, 3262, 3355, 3390, 3436, 3511, 3640, 3709, 3765, 3820, 4054, 4094, 4150, 4213, 4285, 4350, 4410, 4473, 4517, 4929, 4960, 5011, 5064, 5122, 5228, 5264, 5321, 5589, 5649, 5676, 5728, 5782, 5831, 5896, 5957, 6014, 6062, 6123, 6163, 6208, 6264, 6314, 6370, 6433, 6499, 6553, 6601, 6651, 6721]","[[98.34237, 107.50903], [111.75903, 135.59237], [7.759, 36.50903], [44.855, 91.34237]]","[[4917, 5375], [5588, 6780], [388, 1825], [2243, 4567]]",02,05,01,"[9.166659999999993, 23.833339999999993, 28.750030000000002, 46.487370000000006]",108.2374,0.78
02_05_02,130.96,50,"[18.436, 19.532, 20.694, 21.878, 22.949, 24.27, 25.172, 26.003, 26.908, 28.004, 29.411, 30.563, 31.74, 32.932, 34.092, 35.244, 36.468, 37.588, 38.911, 39.884, 40.9, 41.799, 42.892, 43.924, 45.069, 46.028, 47.123, 49.084, 50.596, 51.86, 53.476, 54.82, 56.108, 57.332, 74.123, 75.26, 76.484, 77.571, 78.42, 79.276, 80.605, 81.94, 83.373, 84.758, 86.283, 87.612, 88.963, 90.34, 91.716, 92.884, 94.628, 95.551, 96.453, 97.638, 98.828, 100.124, 101.259, 102.31, 103.667, 104.979, 106.203, 107.451, 108.603, 110.059, 111.395, 113.307, 114.763, 115.867, 117.219, 118.163, 118.916, 119.775]","[922, 977, 1035, 1094, 1147, 1214, 1259, 1300, 1345, 1400, 1471, 1528, 1587, 1647, 1705, 1762, 1823, 1879, 1946, 1994, 2045, 2090, 2145, 2196, 2253, 2301, 2356, 2454, 2530, 2593, 2674, 2741, 2805, 2867, 3706, 3763, 3824, 3879, 3921, 3964, 4030, 4097, 4169, 4238, 4314, 4381, 4448, 4517, 4586, 4644, 4731, 4778, 4823, 4882, 4941, 5006, 5063, 5116, 5183, 5249, 5310, 5373, 5430, 5503, 5570, 5665, 5738, 5793, 5861, 5908, 5946, 5989]","[[18.41892, 58.25452], [74.08785, 120.83785]]","[[921, 2913], [3704, 6042]]",02,05,02,"[39.8356, 46.75]",86.5856,0.66
02_05_03,135.34,50,"[13.6, 14.608, 15.616, 16.464, 17.688, 19.008, 20.032, 20.872, 21.816, 22.984, 24.06, 25.136, 26.57, 27.6, 28.744, 29.56, 30.416, 31.28, 32.104, 32.928, 34.168, 35.256, 36.272, 37.416, 38.352, 39.344, 61.145, 61.889, 63.033, 64.168, 65.329, 66.985, 68.087, 69.553, 70.593, 71.801, 72.741, 73.593, 74.954, 76.241, 77.729, 79.145, 80.54, 81.977, 82.913, 84.212, 85.313, 86.457, 87.699, 88.866, 89.745, 90.769, 92.081, 93.111, 94.065, 95.225, 96.329, 97.508, 98.658, 100.077, 101.044, 101.963, 103.008, 104.049, 105.157, 106.209, 107.257, 108.436, 111.112, 112.525, 114.161, 109.742, 115.391, 116.623, 117.951, 119.135, 120.239, 121.679, 122.986, 123.927, 125.095, 126.231, 127.295, 128.233, 129.431]","[680, 730, 781, 823, 884, 950, 1002, 1044, 1091, 1149, 1203, 1257, 1328, 1380, 1437, 1478, 1521, 1564, 1605, 1646, 1708, 1763, 1814, 1871, 1918, 1967, 3057, 3094, 3152, 3208, 3266, 3349, 3404, 3478, 3530, 3590, 3637, 3680, 3748, 3812, 3886, 3957, 4027, 4099, 4146, 4211, 4266, 4323, 4385, 4443, 4487, 4538, 4604, 4656, 4703, 4761, 4816, 4875, 4933, 5004, 5052, 5098, 5150, 5202, 5258, 5310, 5363, 5422, 5556, 5626, 5708, 5487, 5770, 5831, 5898, 5957, 6012, 6084, 6149, 6196, 6255, 6312, 6365, 6412, 6472]","[[13.56476, 40.33634], [61.11412, 130.44427]]","[[678, 2017], [3056, 6522]]",02,05,03,"[26.77158, 69.33014999999999]",96.10172999999999,0.71
02_05_04,104.6,50,"[10.792, 11.64, 12.712, 13.872, 15.032, 16.344, 17.664, 18.722, 19.648, 20.777, 21.72, 22.813, 23.904, 24.92, 25.915, 27.007, 28.207, 29.287, 30.255, 31.257, 32.159, 33.184, 34.258, 35.352, 36.476, 37.512, 38.616, 39.688, 40.704, 41.64, 42.666, 43.856, 44.968, 46.018, 46.987, 48.021, 49.272, 50.599, 51.674, 52.676, 53.66, 54.751, 55.962, 56.813, 58.088, 59.207, 60.44, 61.687, 62.888, 64.055, 65.321, 66.512, 68.015, 69.183, 70.447, 71.535, 72.511, 73.816, 74.848, 76.407, 77.559, 78.703, 80.023, 81.187, 82.321, 84.015, 85.168, 86.52, 87.879, 89.087, 90.536, 91.577, 92.439, 93.591, 95.007, 96.239, 97.586, 99.111, 100.775]","[540, 582, 636, 694, 752, 817, 883, 936, 982, 1039, 1086, 1141, 1195, 1246, 1296, 1350, 1410, 1464, 1513, 1563, 1608, 1659, 1713, 1768, 1824, 1876, 1931, 1984, 2035, 2082, 2133, 2193, 2248, 2301, 2349, 2401, 2464, 2530, 2584, 2634, 2683, 2738, 2798, 2841, 2904, 2960, 3022, 3084, 3144, 3203, 3266, 3326, 3401, 3459, 3522, 3577, 3626, 3691, 3742, 3820, 3878, 3935, 4001, 4059, 4116, 4201, 4258, 4326, 4394, 4454, 4527, 4579, 4622, 4680, 4750, 4812, 4879, 4956, 5039]","[[10.75226, 101.81927]]","[[538, 5091]]",02,05,04,[91.06701000000001],91.06701000000001,0.87
02_05_05,108.36,50,"[13.89, 14.632, 15.273, 15.977, 16.722, 17.584, 18.512, 19.232, 19.931, 20.704, 21.435, 22.235, 22.872, 23.584, 24.352, 31.624, 32.569, 33.293, 34.211, 35.185, 36.027, 36.647, 37.616, 38.424, 39.056, 39.697, 40.297, 40.848, 41.498, 42.233, 43.32, 44.234, 51.928, 53.112, 53.841, 54.786, 55.496, 56.136, 57.165, 57.754, 58.601, 59.608, 60.335, 60.987, 61.67, 63.079, 63.747, 64.703, 65.664, 66.215, 67.517, 76.915, 77.284, 78.003, 78.667, 79.433, 80.148, 81.115, 81.942, 82.587, 83.732, 95.744, 96.567, 97.387, 98.295]","[694, 732, 764, 799, 836, 879, 926, 962, 997, 1035, 1072, 1112, 1144, 1179, 1218, 1581, 1628, 1665, 1711, 1759, 1801, 1832, 1881, 1921, 1953, 1985, 2015, 2042, 2075, 2112, 2166, 2212, 2596, 2656, 2692, 2739, 2775, 2807, 2858, 2888, 2930, 2980, 3017, 3049, 3084, 3154, 3187, 3235, 3283, 3311, 3376, 3846, 3864, 3900, 3933, 3972, 4007, 4056, 4097, 4129, 4187, 4787, 4828, 4869, 4915]","[[13.85642, 25.33559], [31.53464, 45.25339], [51.852, 68.58785], [76.564, 84.83785], [95.567, 99.29618]]","[[693, 1267], [1577, 2263], [2593, 3429], [3828, 4242], [4778, 4965]]",02,05,05,"[11.47917, 13.718750000000004, 16.735850000000006, 8.27385000000001, 3.7291800000000137]",53.936800000000034,0.5
