video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_01_01,65.68,50,"[18.089, 18.657, 19.879, 23.974, 25.328, 27.065, 29.464, 32.537, 32.92, 33.769, 35.175, 35.968, 36.993, 39.128, 40.183, 42.822, 43.896, 47.518, 50.033, 51.118]","[904, 933, 994, 1199, 1266, 1353, 1473, 1627, 1646, 1688, 1759, 1798, 1850, 1956, 2009, 2141, 2195, 2376, 2502, 2556]","[[18.066, 52.12952]]","[[903, 2606]]",01,01,01,[34.06352],34.06352,0.52
01_01_02,61.14,50,"[27.856, 28.8, 29.751, 51.424, 52.201, 26.738]","[1393, 1440, 1488, 2571, 2610, 1337]","[[26.68976, 30.73142], [50.742, 53.25226]]","[[1334, 1537], [2537, 2663]]",01,01,02,"[4.04166, 2.5102600000000024]",6.551920000000003,0.11
01_01_03,62.74,50,"[36.261, 37.062, 59.55, 60.168, 58.39, 35.484]","[1813, 1853, 2978, 3008, 2920, 1774]","[[35.37, 38.09714], [58.318, 61.19089]]","[[1768, 1905], [2916, 3060]]",01,01,03,"[2.7271400000000057, 2.8728900000000053]",5.600030000000011,0.09
01_01_04,60.98,50,"[9.435, 10.011, 37.179, 38.084, 55.538, 8.621, 35.837, 53.989]","[472, 501, 1859, 1904, 2777, 431, 1792, 2699]","[[8.56476, 10.98142], [35.77309, 39.04392], [53.788, 56.58785]]","[[428, 549], [1789, 1952], [2689, 2829]]",01,01,04,"[2.4166600000000003, 3.2708299999999966, 2.7998500000000064]",8.487340000000003,0.14
01_01_05,61.94,50,"[35.35, 35.844, 36.716, 37.632, 38.711, 39.8, 49.014, 49.571, 50.504]","[1768, 1792, 1836, 1882, 1936, 1990, 2451, 2479, 2525]","[[35.112, 40.8919], [48.738, 51.69089]]","[[1756, 2045], [2437, 2585]]",01,01,05,"[5.779899999999998, 2.9528900000000036]",8.732790000000001,0.14
01_02_01,61.48,50,"[19.545, 20.179, 21.38, 30.715, 31.099, 31.499, 32.26, 40.229, 40.828, 41.542, 42.763, 49.972, 50.428, 51.175, 52.589, 54.046, 55.669]","[977, 1009, 1069, 1536, 1555, 1575, 1613, 2011, 2041, 2077, 2138, 2499, 2521, 2559, 2629, 2702, 2783]","[[19.427, 22.48142], [30.174, 33.31476], [39.705, 43.77309], [49.446, 56.68976]]","[[971, 1124], [1509, 1666], [1985, 2189], [2472, 2834]]",01,02,01,"[3.0544200000000004, 3.14076, 4.068090000000005, 7.243760000000002]",17.507030000000007,0.28
01_02_02,61.28,50,"[7.438, 8.679, 9.887, 11.454, 12.991, 14.438, 15.701, 17.054, 18.223, 19.453, 20.734, 21.99, 23.215, 24.726, 26.118, 27.221, 28.775, 30.333, 31.658, 32.941, 34.397, 35.774, 37.039, 38.479, 39.382, 40.493, 41.647, 42.525, 43.535, 44.573, 45.664, 47.526, 48.679, 57.501, 58.268, 59.382, 60.372]","[372, 434, 494, 573, 650, 722, 785, 853, 911, 973, 1037, 1100, 1161, 1236, 1306, 1361, 1439, 1517, 1583, 1647, 1720, 1789, 1852, 1924, 1969, 2025, 2082, 2126, 2177, 2229, 2283, 2376, 2434, 2875, 2913, 2969, 3019]","[[7.453, 49.69089], [57.37952, 61.21285]]","[[373, 2485], [2869, 3061]]",01,02,02,"[42.23789, 3.8333300000000037]",46.071220000000004,0.75
01_02_03,61.58,50,"[6.517, 8.935, 7.938, 10.226, 11.698, 13.482, 14.53, 16.089, 17.476, 18.63, 29.403, 28.557, 30.719, 31.802, 33.431, 34.502, 35.72, 36.694, 37.704, 38.831, 46.302, 47.759, 49.093, 50.246, 51.414, 52.556, 53.732, 55.103, 56.125, 57.558, 58.798]","[326, 447, 397, 511, 585, 674, 726, 804, 874, 932, 1470, 1428, 1536, 1590, 1672, 1725, 1786, 1835, 1885, 1942, 2315, 2388, 2455, 2512, 2571, 2628, 2687, 2755, 2806, 2878, 2940]","[[6.513, 19.62726], [28.523, 39.86101], [46.328, 59.83785]]","[[326, 981], [1426, 1993], [2316, 2992]]",01,02,03,"[13.11426, 11.33801, 13.50985]",37.96212,0.62
01_02_04,61.24,50,"[5.304, 6.294, 7.637, 8.614, 9.96, 11.23, 12.198, 20.95, 21.597, 22.86, 28.318, 29.364, 30.356, 36.722, 36.153, 38.044, 39.355, 40.443, 41.652, 42.673, 43.885, 51.843, 52.702, 54.045, 55.859, 57.186]","[265, 315, 382, 431, 498, 562, 610, 1048, 1080, 1143, 1416, 1468, 1518, 1836, 1808, 1902, 1968, 2022, 2083, 2134, 2194, 2592, 2635, 2702, 2793, 2859]","[[5.292, 13.21059], [20.944, 23.87726], [28.224, 31.41892], [36.08559, 44.83559], [51.859, 58.21059]]","[[265, 661], [1047, 1194], [1411, 1571], [1804, 2242], [2593, 2911]]",01,02,04,"[7.91859, 2.9332600000000006, 3.1949199999999998, 8.75, 6.351590000000002]",29.148360000000004,0.48
01_02_05,61.9,50,"[5.08, 5.664, 6.281, 7.399, 4.306, 13.949, 14.491, 15.164, 16.156, 22.574, 23.12, 23.83, 24.583, 25.721, 26.335, 27.222, 28.2, 35.92, 36.39, 36.717, 37.664, 35.546]","[254, 283, 314, 370, 215, 697, 725, 758, 808, 1129, 1156, 1192, 1229, 1286, 1317, 1361, 1410, 1796, 1820, 1836, 1883, 1777]","[[4.25226, 8.41892], [13.85642, 17.14809], [22.511, 29.21059], [35.411, 38.69746]]","[[213, 421], [693, 857], [1126, 1461], [1771, 1935]]",01,02,05,"[4.16666, 3.29167, 6.699590000000001, 3.286459999999998]",17.44438,0.28
01_03_01,61.7,50,"[6.053, 6.45, 7.076, 8.157, 19.365, 19.714, 20.475, 21.57, 22.667, 23.706, 24.613, 25.283, 26.419, 28.026, 28.77, 29.642, 30.484, 31.173, 31.851, 33.042, 34.324, 35.019, 36.011, 37.034, 37.924, 38.941, 39.965, 40.957, 41.972, 42.979, 44.166, 45.602, 57.419, 58.492, 60.572]","[303, 322, 354, 408, 968, 986, 1024, 1078, 1133, 1185, 1231, 1264, 1321, 1401, 1438, 1482, 1524, 1559, 1593, 1652, 1716, 1751, 1801, 1852, 1896, 1947, 1998, 2048, 2099, 2149, 2208, 2280, 2871, 2925, 3029]","[[5.957, 9.14809], [19.159, 46.69089], [56.439, 61.62952]]","[[298, 457], [958, 2335], [2822, 3081]]",01,03,01,"[3.19109, 27.531890000000004, 5.190519999999999]",35.9135,0.58
01_03_02,61.46,50,"[4.329, 4.756, 5.714, 6.945, 7.956, 9.188, 10.458, 12.027, 12.9, 13.937, 16.337, 15.409, 17.677, 27.522, 28.609, 29.599, 30.999, 32.242, 33.159, 48.026, 49.665, 50.487, 51.415, 52.545]","[216, 238, 286, 347, 398, 459, 523, 601, 645, 697, 817, 770, 884, 1376, 1430, 1480, 1550, 1612, 1658, 2401, 2483, 2524, 2571, 2627]","[[4.27309, 18.66892], [27.428, 34.15271], [47.923, 53.55271]]","[[214, 933], [1371, 1708], [2396, 2678]]",01,03,02,"[14.39583, 6.724709999999998, 5.629709999999996]",26.750249999999994,0.44
01_03_03,61.28,50,"[3.445, 4.684, 5.785, 6.998, 8.431, 9.372, 10.412, 11.979, 13.291, 14.31, 21.553, 22.591, 24.079, 25.399, 26.686, 27.827, 31.035, 28.981, 29.941, 32.298, 33.706, 34.956, 36.25, 37.569, 38.82, 40.139]","[172, 234, 289, 350, 422, 469, 521, 599, 665, 716, 1078, 1130, 1204, 1270, 1334, 1391, 1552, 1449, 1497, 1615, 1685, 1748, 1812, 1878, 1941, 2007]","[[3.41892, 15.27309], [21.475, 41.19746]]","[[171, 764], [1074, 2060]]",01,03,03,"[11.85417, 19.722459999999998]",31.576629999999998,0.52
01_03_04,61.52,50,"[19.8, 20.752, 16.618, 17.752, 18.752, 21.802, 23.349, 24.321, 44.522, 45.949, 47.821]","[990, 1038, 831, 888, 938, 1090, 1167, 1216, 2226, 2297, 2391]","[[16.56476, 25.31476], [44.46059, 48.83559]]","[[828, 1266], [2223, 2442]]",01,03,04,"[8.75, 4.375]",13.125,0.21
01_03_05,62.54,50,"[16.611, 17.593, 18.45, 19.451, 20.184, 56.249, 56.802, 57.656, 58.422, 59.253]","[831, 880, 922, 973, 1009, 2812, 2840, 2883, 2921, 2963]","[[16.54392, 21.16892], [56.15271, 60.25271]]","[[827, 1058], [2808, 3013]]",01,03,05,"[4.625, 4.100000000000001]",8.725000000000001,0.14
01_04_01,91.4,50,"[5.985, 6.402, 7.37, 8.746, 9.642, 11.097, 12.017, 13.177, 14.098, 15.834, 18.028, 18.787, 20.643, 21.538, 22.441, 23.296, 24.259, 25.394, 26.882, 27.898, 31.045, 31.811, 32.949, 34.292, 46.451, 47.146, 48.629, 49.61, 50.419, 51.865, 53.178, 54.033, 54.978, 55.912, 56.62, 57.187, 58.157, 58.908, 59.585, 60.396, 61.467, 62.363, 63.364, 64.136, 65.131, 66.034, 74.481, 75.051, 75.924, 77.451, 78.513, 79.504, 80.747, 81.875, 83.323, 84.195, 85.134, 86.105, 86.98, 88.042, 88.9, 89.947]","[299, 320, 368, 437, 482, 555, 601, 659, 705, 792, 901, 939, 1032, 1077, 1122, 1165, 1213, 1270, 1344, 1395, 1552, 1591, 1647, 1715, 2323, 2357, 2431, 2480, 2521, 2593, 2659, 2702, 2749, 2796, 2831, 2859, 2908, 2945, 2979, 3020, 3073, 3118, 3168, 3207, 3257, 3302, 3724, 3753, 3796, 3873, 3926, 3975, 4037, 4094, 4166, 4210, 4257, 4305, 4349, 4402, 4445, 4497]","[[5.85271, 35.35271], [45.258, 67.08785], [74.00452, 91.37952]]","[[293, 1768], [2263, 3354], [3700, 4569]]",01,04,01,"[29.5, 21.82985, 17.375]",68.70485,0.75
01_04_02,91.48,50,"[2.141, 3.309, 4.782, 5.736, 6.581, 7.494, 8.381, 9.541, 10.861, 11.701, 12.885, 13.973, 14.821, 15.881, 33.021, 34.054, 35.133, 36.269, 37.341, 38.453, 39.725, 41.054, 42.061, 43.165, 44.409, 48.303, 50.406, 45.803, 47.046, 49.189, 51.555, 67.26, 68.522, 69.643, 70.834, 72.395, 73.469, 74.636, 76.731, 77.589, 78.803, 79.803, 80.947, 82.139, 83.45]","[107, 165, 239, 287, 329, 375, 419, 477, 543, 585, 644, 699, 741, 794, 1651, 1703, 1757, 1813, 1867, 1923, 1986, 2053, 2103, 2158, 2220, 2415, 2520, 2290, 2352, 2459, 2578, 3363, 3426, 3482, 3542, 3620, 3673, 3732, 3837, 3879, 3940, 3990, 4047, 4107, 4172]","[[2.092, 16.89809], [32.94089, 52.59714], [67.191, 84.44089]]","[[105, 845], [1647, 2630], [3360, 4222]]",01,04,02,"[14.80609, 19.65625, 17.249889999999994]",51.71222999999999,0.57
01_04_03,91.34,50,"[5.872, 6.92, 7.984, 9.017, 9.801, 10.753, 11.753, 13.432, 14.712, 15.648, 16.907, 18.289, 19.232, 20.656, 21.664, 22.664, 23.688, 24.768, 26.216, 41.85, 42.944, 44.385, 45.624, 46.68, 47.912, 48.943, 49.984, 51.352, 52.68, 53.903, 55.071, 61.76, 63.021, 64.355, 65.841, 67.008, 67.991, 69.426, 71.016, 72.258, 73.967, 75.116, 75.856, 76.872, 77.936, 78.88, 80.423, 81.944, 83.159, 84.383, 85.576]","[294, 346, 399, 451, 490, 538, 588, 672, 736, 782, 845, 914, 962, 1033, 1083, 1133, 1184, 1238, 1311, 2092, 2147, 2219, 2281, 2334, 2396, 2447, 2499, 2568, 2634, 2695, 2754, 3088, 3151, 3218, 3292, 3350, 3400, 3471, 3551, 3613, 3698, 3756, 3793, 3844, 3897, 3944, 4021, 4097, 4158, 4219, 4279]","[[5.728, 27.19427], [41.75677, 56.13177], [61.725, 86.63177]]","[[286, 1360], [2088, 2807], [3086, 4332]]",01,04,03,"[21.46627, 14.375, 24.90677]",60.74804,0.67
01_04_04,91.44,50,"[6.459, 7.72, 8.728, 10.145, 11.488, 12.736, 13.752, 14.608, 15.834, 17.392, 18.788, 19.722, 20.608, 21.824, 22.8, 23.496, 24.984, 26.888, 41.736, 42.841, 43.8, 45.048, 51.299, 52.034, 53.295, 55.04, 56.184, 57.327, 58.517, 59.837, 71.762, 72.745, 73.835, 74.828, 75.937, 77.065, 78.351, 79.393, 80.667, 82.225, 83.641]","[323, 386, 436, 507, 574, 637, 688, 730, 792, 870, 939, 986, 1030, 1091, 1140, 1175, 1249, 1344, 2087, 2142, 2190, 2252, 2565, 2602, 2665, 2752, 2809, 2866, 2926, 2992, 3588, 3637, 3692, 3741, 3797, 3853, 3918, 3970, 4033, 4111, 4182]","[[6.43976, 27.87726], [41.696, 46.00226], [51.25226, 60.81476], [71.703, 84.68244]]","[[322, 1394], [2085, 2300], [2563, 3041], [3585, 4234]]",01,04,04,"[21.4375, 4.306260000000002, 9.5625, 12.979439999999997]",48.2857,0.53
01_04_05,91.36,50,"[11.213, 11.978, 12.748, 13.814, 14.704, 15.581, 34.372, 35.361, 36.189, 36.904, 52.92, 53.825, 54.556, 55.37, 56.346, 57.1, 57.926, 58.857, 74.162, 74.842, 75.418, 76.34, 77.531]","[561, 599, 637, 691, 735, 779, 1719, 1768, 1809, 1845, 2646, 2691, 2728, 2768, 2817, 2855, 2896, 2943, 3708, 3742, 3771, 3817, 3877]","[[11.145, 16.60642], [34.261, 37.90964], [52.60542, 59.90542], [73.81927, 78.63177]]","[[557, 830], [1713, 1895], [2630, 2995], [3691, 3932]]",01,04,05,"[5.46142, 3.6486400000000003, 7.299999999999997, 4.8125]",21.222559999999998,0.23
