video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_04_01,180.98,50,"[12.92, 13.736, 14.936, 16.135, 17.552, 18.896, 20.407, 23.247, 25.048, 26.296, 27.903, 29.856, 31.544, 33.072, 34.175, 35.304, 36.976, 37.823, 38.711, 39.648, 40.378, 41.21, 42.243, 43.127, 43.871, 44.68, 46.538, 47.319, 48.135, 49.058, 49.904, 50.618, 51.345, 52.023, 53.047, 54.063, 56.64, 57.247, 58.271, 59.247, 61.78, 62.455, 63.303, 64.426, 65.416, 66.386, 67.439, 68.689, 69.623, 70.528, 71.289, 72.002, 72.727, 73.319, 73.943, 75.319, 76.232, 77.546, 78.335, 79.591, 80.531, 81.967, 83.001, 83.975, 84.946, 85.908, 86.679, 87.6, 88.367, 89.143, 90.026, 90.992, 92.063, 93.216, 94.271, 95.147, 95.945, 96.818, 97.719, 98.553, 99.319, 99.951, 100.626, 101.359, 102.44, 103.255, 104.192, 105.583, 107.279, 108.463, 109.719, 111.583, 112.73, 113.999, 116.671, 118.386, 119.711, 120.863, 121.983, 123.127, 124.047, 125.127, 126.257, 127.287, 128.487, 129.287, 130.114, 130.837, 131.855, 133.119, 134.143, 135.048, 136.065, 137.121, 138.167, 139.44, 140.447, 141.543, 142.576, 143.615, 144.834, 146.239, 148.175, 149.8, 151.647, 154.055, 155.943, 157.859, 160.407, 174.26, 175.287, 176.087, 177.567, 178.607, 179.415]","[646, 687, 747, 807, 878, 945, 1020, 1162, 1252, 1315, 1395, 1493, 1577, 1654, 1709, 1765, 1849, 1891, 1936, 1982, 2019, 2060, 2112, 2156, 2194, 2234, 2327, 2366, 2407, 2453, 2495, 2531, 2567, 2601, 2652, 2703, 2832, 2862, 2914, 2962, 3089, 3123, 3165, 3221, 3271, 3319, 3372, 3434, 3481, 3526, 3564, 3600, 3636, 3666, 3697, 3766, 3812, 3877, 3917, 3980, 4027, 4098, 4150, 4199, 4247, 4295, 4334, 4380, 4418, 4457, 4501, 4550, 4603, 4661, 4714, 4757, 4797, 4841, 4886, 4928, 4966, 4998, 5031, 5068, 5122, 5163, 5210, 5279, 5364, 5423, 5486, 5579, 5636, 5700, 5834, 5919, 5986, 6043, 6099, 6156, 6202, 6256, 6313, 6364, 6424, 6464, 6506, 6542, 6593, 6656, 6707, 6752, 6803, 6856, 6908, 6972, 7022, 7077, 7129, 7181, 7242, 7312, 7409, 7490, 7582, 7703, 7797, 7893, 8020, 8713, 8764, 8804, 8878, 8930, 8971]","[[12.79392, 161.38855], [174.05542, 180.85542]]","[[640, 8069], [8703, 9043]]",01,04,01,"[148.59463, 6.800000000000011]",155.39463,0.86
01_04_02,181.08,50,"[4.869, 6.205, 7.46, 8.701, 9.885, 11.165, 12.229, 13.16, 14.247, 15.166, 16.03, 17.701, 18.686, 19.6, 20.783, 22.047, 23.22, 24.293, 25.319, 26.277, 27.261, 28.077, 29.165, 30.286, 31.126, 32.157, 33.253, 34.334, 35.44, 36.551, 37.613, 38.511, 39.357, 40.43, 41.365, 42.415, 43.381, 44.101, 44.934, 45.764, 46.711, 56.524, 52.559, 53.407, 54.401, 55.465, 57.32, 58.431, 59.671, 60.849, 61.928, 63.056, 64.16, 65.144, 66.305, 67.265, 68.16, 69.232, 70.368, 73.811, 71.471, 72.498, 75.01, 76.012, 77.218, 78.25, 79.093, 80.043, 91.058, 87.554, 88.59, 89.613, 92.078, 93.026, 94.117, 95.114, 96.298, 97.318, 98.719, 99.819, 100.894, 101.957, 103.29, 104.429, 105.647, 106.777, 107.982, 108.925, 110.18, 111.444, 112.598, 113.615, 114.742, 116.064, 117.293, 118.789, 119.846, 121.285, 122.382, 123.526, 124.496, 125.429, 126.359, 127.438, 128.511, 129.698, 130.671, 131.911, 132.901, 134.056, 135.049, 136.048, 137.311, 138.43, 139.525, 140.621, 141.814, 142.904, 144.069, 145.36, 146.6, 147.713, 148.832, 150.048, 151.302, 152.839, 154.302, 155.374, 156.475, 157.681, 159.078, 160.492, 161.756, 163.282, 164.521, 165.702, 166.706, 167.749, 168.868, 169.947, 170.922, 171.891, 172.842, 173.842, 175.202, 176.311, 177.435, 179.004, 179.962]","[243, 310, 373, 435, 494, 558, 611, 658, 712, 758, 802, 885, 934, 980, 1039, 1102, 1161, 1215, 1266, 1314, 1363, 1404, 1458, 1514, 1556, 1608, 1663, 1717, 1772, 1828, 1881, 1926, 1968, 2022, 2068, 2121, 2169, 2205, 2247, 2288, 2336, 2826, 2628, 2670, 2720, 2773, 2866, 2922, 2984, 3042, 3096, 3153, 3208, 3257, 3315, 3363, 3408, 3462, 3518, 3691, 3574, 3625, 3751, 3801, 3861, 3912, 3955, 4002, 4553, 4378, 4430, 4481, 4604, 4651, 4706, 4756, 4815, 4866, 4936, 4991, 5045, 5098, 5164, 5221, 5282, 5339, 5399, 5446, 5509, 5572, 5630, 5681, 5737, 5803, 5865, 5939, 5992, 6064, 6119, 6176, 6225, 6271, 6318, 6372, 6426, 6485, 6534, 6596, 6645, 6703, 6752, 6802, 6866, 6922, 6976, 7031, 7091, 7145, 7203, 7268, 7330, 7386, 7442, 7502, 7565, 7642, 7715, 7769, 7824, 7884, 7954, 8025, 8088, 8164, 8226, 8285, 8335, 8387, 8443, 8497, 8546, 8595, 8642, 8692, 8760, 8816, 8872, 8950, 8998]","[[4.81476, 47.71285], [52.58, 81.00542], [87.55542, 180.9257]]","[[241, 2386], [2629, 4050], [4378, 9046]]",01,04,02,"[42.89809, 28.425420000000003, 93.37028000000001]",164.69379,0.91
01_04_03,87.06,50,"[4.728, 5.784, 6.848, 7.895, 9.077, 9.97, 20.469, 21.095, 22.205, 24.037, 28.062, 25.553, 26.812, 29.074, 30.239, 31.146, 33.682, 32.389, 34.718, 35.821, 37.131, 38.372, 39.56, 41.06, 42.068, 42.948, 44.08, 45.148, 46.399, 47.683, 48.724, 49.62, 50.644, 51.748, 52.841, 53.899, 54.98, 55.807, 56.806, 57.846, 58.916, 59.667, 60.404, 61.428, 62.387, 63.164, 63.941, 65.286, 66.923, 72.414, 73.577, 74.757, 75.911, 76.879, 77.74, 78.612, 79.79, 80.939, 82.068, 83.34, 84.555, 85.629]","[236, 289, 342, 395, 454, 499, 1023, 1055, 1110, 1202, 1403, 1278, 1341, 1454, 1512, 1557, 1684, 1619, 1736, 1791, 1857, 1919, 1978, 2053, 2103, 2147, 2204, 2257, 2320, 2384, 2436, 2481, 2532, 2587, 2642, 2695, 2749, 2790, 2840, 2892, 2946, 2983, 3020, 3071, 3119, 3158, 3197, 3264, 3346, 3621, 3679, 3738, 3796, 3844, 3887, 3931, 3990, 4047, 4103, 4167, 4228, 4281]","[[4.64809, 10.96059], [20.40271, 67.96285], [72.35271, 86.62771]]","[[232, 548], [1020, 3398], [3618, 4331]]",01,04,03,"[6.3125, 47.560140000000004, 14.274999999999991]",68.14764,0.78
01_04_04,83.48,50,"[3.713, 4.624, 2.831, 5.805, 7.046, 8.167, 9.248, 10.1, 11.04, 12.06, 13.077, 14.092, 14.98, 15.893, 17.439, 18.631, 32.564, 31.79, 33.652, 34.909, 36.477, 38.005, 39.1, 40.407, 41.412, 42.479, 43.429, 44.284, 45.031, 46.175, 47.252, 48.381, 49.396, 50.38, 62.895, 61.903, 63.823, 65.06, 66.127, 67.214, 68.329, 69.349, 70.405, 71.517, 72.984]","[186, 231, 142, 290, 352, 408, 462, 505, 552, 603, 654, 705, 749, 795, 872, 932, 1628, 1590, 1683, 1745, 1824, 1900, 1955, 2020, 2071, 2124, 2171, 2214, 2252, 2309, 2363, 2419, 2470, 2519, 3145, 3095, 3191, 3253, 3306, 3361, 3416, 3467, 3520, 3576, 3649]","[[2.77309, 19.60642], [31.684, 51.39673], [61.80542, 74.05542]]","[[139, 980], [1584, 2570], [3090, 3703]]",01,04,04,"[16.83333, 19.712729999999997, 12.25]",48.79606,0.58
01_04_05,67.62,50,"[33.827, 34.259, 34.802, 35.549, 36.209, 37.049, 38.178, 38.768, 39.471, 40.129, 40.834, 41.531, 42.194, 43.051, 43.987, 44.739, 45.42, 46.194, 46.808, 47.608, 48.458, 57.431, 57.904, 58.904, 59.663, 60.56, 61.049, 61.767, 62.889, 64.28, 64.785, 65.769]","[1691, 1713, 1740, 1777, 1810, 1852, 1909, 1938, 1974, 2006, 2042, 2077, 2110, 2153, 2199, 2237, 2271, 2310, 2340, 2380, 2423, 2872, 2895, 2945, 2983, 3028, 3052, 3088, 3144, 3214, 3239, 3288]","[[33.75542, 49.45542], [57.37952, 66.79618]]","[[1688, 2473], [2869, 3340]]",01,04,05,"[15.699999999999996, 9.416660000000007]",25.116660000000003,0.37
02_04_01,181.38,50,"[28.321, 29.492, 30.585, 31.577, 32.937, 34.153, 35.314, 36.884, 38.033, 38.915, 39.825, 40.921, 42.064, 43.032, 44.082, 45.289, 46.386, 47.402, 48.25, 49.361, 54.849, 55.801, 57.242, 58.081, 59.217, 60.801, 62.089, 63.305, 64.498, 65.425, 66.788, 67.674, 68.667, 69.857, 70.977, 72.289, 73.417, 74.401, 76.905, 77.764, 78.546, 79.537, 80.596, 81.945, 83.945, 85.17, 86.407, 87.252, 88.708, 89.633, 90.331, 91.201, 92.171, 93.642, 94.665, 95.865, 97.115, 98.529, 99.946, 102.125, 103.329, 104.633, 105.867, 107.491, 109.387, 111.305, 112.697, 116.1, 117.105, 117.994, 119.388, 120.473, 121.578, 122.428, 124.225, 125.172, 126.161, 127.673, 129.363, 131.188, 132.13, 133.206, 134.513, 135.684, 137.145, 138.462, 140.217, 141.689, 142.917, 144.562, 145.737, 147.17, 148.708, 150.628, 156.139, 157.041, 157.985, 159.169, 160.281, 161.46, 162.601, 163.474, 164.321, 165.369, 166.485, 167.305, 168.329, 169.129, 170.435, 171.794, 172.691, 11.703, 12.606, 13.796]","[1416, 1475, 1529, 1579, 1647, 1708, 1766, 1844, 1902, 1946, 1991, 2046, 2103, 2152, 2204, 2264, 2319, 2370, 2412, 2468, 2742, 2790, 2862, 2904, 2961, 3040, 3104, 3165, 3225, 3271, 3339, 3384, 3433, 3493, 3549, 3614, 3671, 3720, 3845, 3888, 3927, 3977, 4030, 4097, 4197, 4258, 4320, 4363, 4435, 4482, 4517, 4560, 4609, 4682, 4733, 4793, 4856, 4926, 4997, 5106, 5166, 5232, 5293, 5375, 5469, 5565, 5635, 5805, 5855, 5900, 5969, 6024, 6079, 6121, 6211, 6259, 6308, 6384, 6468, 6559, 6606, 6660, 6726, 6784, 6857, 6923, 7011, 7084, 7146, 7228, 7287, 7358, 7435, 7531, 7807, 7852, 7899, 7958, 8014, 8073, 8130, 8174, 8216, 8268, 8324, 8365, 8416, 8456, 8522, 8590, 8635, 585, 630, 690]","[[11.25452, 14.83785], [28.25452, 50.42118], [54.843, 151.76355], [156.304, 173.88855]]","[[563, 742], [1413, 2521], [2742, 7588], [7815, 8694]]",02,04,01,"[3.58333, 22.16666, 96.92055, 17.584550000000007]",140.25509,0.77
02_04_02,145.46,50,"[8.952, 10.184, 11.2, 12.154, 13.033, 13.816, 14.64, 15.388, 16.389, 17.256, 18.336, 19.666, 20.68, 21.961, 23.112, 24.096, 25.048, 25.936, 26.85, 27.738, 44.17, 44.818, 45.873, 46.888, 47.92, 48.904, 49.816, 50.778, 51.752, 52.808, 53.712, 54.721, 55.511, 56.368, 57.432, 58.416, 59.28, 60.112, 60.945, 61.874, 63.403, 64.368, 65.488, 66.53, 67.504, 68.744, 70.072, 71.135, 72.433, 73.451, 74.559, 75.856, 77.17, 78.591, 79.674, 80.768, 82.063, 83.367, 84.577, 85.64, 86.738, 87.697, 88.751, 89.751, 90.88, 91.968, 93.236, 94.292, 95.289, 96.279, 97.336, 98.304, 99.23, 100.29, 101.248, 102.457, 103.517, 104.748, 105.668, 106.439, 107.239, 108.319, 109.386, 110.17, 111.015, 111.772, 112.644, 113.56, 114.647, 115.595, 116.58, 117.671, 118.634, 119.551, 120.52, 121.455, 122.508, 123.37, 124.52, 125.552, 126.385, 127.65, 128.905, 129.752, 130.545, 131.528, 132.546, 133.336, 134.319, 135.815, 137.082, 138.48, 139.586, 140.711, 141.952, 143.087, 144.303]","[448, 509, 560, 608, 652, 691, 732, 769, 819, 863, 917, 983, 1034, 1098, 1156, 1205, 1252, 1297, 1342, 1387, 2208, 2241, 2294, 2344, 2396, 2445, 2491, 2539, 2588, 2640, 2686, 2736, 2776, 2818, 2872, 2921, 2964, 3006, 3047, 3094, 3170, 3218, 3274, 3326, 3375, 3437, 3504, 3557, 3622, 3673, 3728, 3793, 3858, 3930, 3984, 4038, 4103, 4168, 4229, 4282, 4337, 4385, 4438, 4488, 4544, 4598, 4662, 4715, 4764, 4814, 4867, 4915, 4962, 5014, 5062, 5123, 5176, 5237, 5283, 5322, 5362, 5416, 5469, 5508, 5551, 5589, 5632, 5678, 5732, 5780, 5829, 5884, 5932, 5978, 6026, 6073, 6125, 6168, 6226, 6278, 6319, 6382, 6445, 6488, 6527, 6576, 6627, 6667, 6716, 6791, 6854, 6924, 6979, 7036, 7098, 7154, 7215]","[[8.91892, 28.75226], [44.12952, 145.34237]]","[[446, 1438], [2206, 7267]]",02,04,02,"[19.83334, 101.21284999999999]",121.04619,0.83
02_04_03,174.74,50,"[6.344, 7.339, 8.328, 5.347, 9.485, 10.551, 11.703, 12.63, 13.527, 14.58, 15.668, 41.828, 42.717, 44.445, 45.624, 46.772, 47.757, 48.811, 50.008, 51.004, 52.03, 52.946, 54.187, 55.174, 56.284, 57.355, 58.165, 58.955, 59.908, 60.986, 61.918, 62.996, 63.964, 64.979, 66.007, 67.142, 68.219, 69.365, 70.19, 71.23, 72.34, 73.523, 74.717, 75.723, 76.82, 77.789, 79.171, 80.409, 81.395, 82.563, 83.624, 84.644, 85.727, 86.963, 87.85, 88.941, 89.852, 90.971, 91.983, 92.884, 93.788, 94.787, 95.78, 96.821, 97.776, 99.053, 100.092, 101.363, 102.427, 103.5, 104.587, 105.635, 106.675, 107.749, 109.019, 110.155, 111.239, 112.292, 113.375, 114.462, 115.377, 116.483, 117.451, 118.628, 119.697, 120.867, 121.979, 122.923, 124.136, 125.07, 126.179, 127.221, 128.319, 129.747, 130.795, 131.638, 132.731, 134.115, 135.109, 135.979, 136.939, 137.939, 139.115, 140.205, 141.532, 142.517, 143.469, 144.259, 145.02, 145.661, 146.659, 147.612, 148.699, 150.027, 150.959, 151.851, 152.666, 153.421, 154.219, 155.196, 156.115, 157.123, 158.339, 160.084, 161.109, 161.89, 162.66, 164.315, 165.275, 166.211, 167.059, 168.203]","[317, 367, 416, 267, 474, 528, 585, 632, 676, 729, 783, 2091, 2136, 2222, 2281, 2339, 2388, 2441, 2500, 2550, 2602, 2647, 2709, 2759, 2814, 2868, 2908, 2948, 2995, 3049, 3096, 3150, 3198, 3249, 3300, 3357, 3411, 3468, 3510, 3562, 3617, 3676, 3736, 3786, 3841, 3889, 3959, 4020, 4070, 4128, 4181, 4232, 4286, 4348, 4392, 4447, 4493, 4549, 4599, 4644, 4689, 4739, 4789, 4841, 4889, 4953, 5005, 5068, 5121, 5175, 5229, 5282, 5334, 5387, 5451, 5508, 5562, 5615, 5669, 5723, 5769, 5824, 5873, 5931, 5985, 6043, 6099, 6146, 6207, 6254, 6309, 6361, 6416, 6487, 6540, 6582, 6637, 6706, 6755, 6799, 6847, 6897, 6956, 7010, 7077, 7126, 7173, 7213, 7251, 7283, 7333, 7381, 7435, 7501, 7548, 7593, 7633, 7671, 7711, 7760, 7806, 7856, 7917, 8004, 8055, 8094, 8133, 8216, 8264, 8311, 8353, 8410]","[[5.33559, 16.66892], [41.79392, 169.1757]]","[[267, 833], [2090, 8459]]",02,04,03,"[11.33333, 127.38178]",138.71511,0.79
02_04_04,115.28,50,"[7.833, 8.755, 5.091, 6.186, 7.049, 9.736, 10.93, 11.818, 12.581, 13.612, 14.458, 15.186, 15.994, 16.868, 17.971, 19.132, 20.147, 21.195, 22.364, 23.175, 24.026, 24.81, 26.218, 27.146, 28.146, 29.138, 43.652, 44.641, 42.688, 45.572, 47.355, 48.545, 49.769, 51.133, 52.066, 52.897, 67.498, 68.417, 65.883, 66.795, 65.047, 69.547, 70.536, 71.567, 72.488, 73.696, 74.895, 76.088, 77.241, 78.279, 79.375, 80.512, 81.512, 82.544, 83.562, 84.425, 85.379, 86.288, 87.248, 88.215, 89.328, 90.425, 91.452, 92.335, 93.079, 94.063, 94.999, 96.112, 97.168, 98.409, 99.393, 101.057, 101.968, 103.503, 104.751, 105.823, 106.727]","[392, 438, 255, 309, 352, 487, 546, 591, 629, 681, 723, 759, 800, 843, 899, 957, 1007, 1060, 1118, 1159, 1201, 1240, 1311, 1357, 1407, 1457, 2183, 2232, 2134, 2279, 2368, 2427, 2488, 2557, 2603, 2645, 3375, 3421, 3294, 3340, 3252, 3477, 3527, 3578, 3624, 3685, 3745, 3804, 3862, 3914, 3969, 4026, 4076, 4127, 4178, 4221, 4269, 4314, 4362, 4411, 4466, 4521, 4573, 4617, 4654, 4703, 4750, 4806, 4858, 4920, 4970, 5053, 5098, 5175, 5238, 5291, 5336]","[[5.06476, 30.14809], [42.674, 53.89809], [64.981, 107.6757]]","[[253, 1507], [2134, 2695], [3249, 5384]]",02,04,04,"[25.08333, 11.224090000000004, 42.69470000000001]",79.00212000000002,0.69
02_04_05,73.2,50,"[6.413, 7.009, 7.813, 8.648, 9.512, 10.301, 10.934, 11.687, 12.748, 13.584, 20.197, 20.661, 21.696, 22.301, 22.984, 23.63, 24.429, 46.59, 46.985, 47.754, 48.543, 49.285, 50.014, 50.959, 51.766]","[321, 350, 391, 432, 476, 515, 547, 584, 637, 679, 1010, 1033, 1085, 1115, 1149, 1182, 1221, 2330, 2349, 2388, 2427, 2464, 2501, 2548, 2588]","[[6.314, 14.60642], [20.123, 25.48142], [46.52309, 52.79392]]","[[316, 730], [1006, 1274], [2326, 2640]]",02,04,05,"[8.29242, 5.358419999999999, 6.270829999999997]",19.921669999999995,0.27
