video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_01_01,59.34,50,"[6.056, 6.365, 7.029, 9.143, 10.783, 17.92, 18.575, 19.941, 21.548, 24.869, 25.993, 27.118, 28.79, 30.751, 33.623, 34.022, 37.183, 40.223, 41.246, 43.901]","[303, 318, 351, 457, 539, 896, 929, 997, 1077, 1243, 1300, 1356, 1440, 1538, 1681, 1701, 1859, 2011, 2062, 2195]","[[5.854, 11.80271], [17.831, 44.89673]]","[[293, 590], [892, 2245]]",01,01,01,"[5.948709999999999, 27.06573]",33.01444,0.56
01_01_02,32.48,50,"[3.745, 4.379, 5.276, 6.407, 7.183, 7.958, 9.183, 10.127, 11.072, 12.276, 12.902, 14.023]","[187, 219, 264, 320, 359, 398, 459, 506, 554, 614, 645, 701]","[[3.678, 15.02309]]","[[184, 751]]",01,01,02,[11.345089999999999],11.345089999999999,0.35
01_01_03,31.34,50,[],[],[],[],01,01,03,[],0.0,0.0
01_01_04,14.78,50,[],[],[],[],01,01,04,[],0.0,0.0
01_01_05,12.4,50,[],[],[],[],01,01,05,[],0.0,0.0
02_01_01,49.3,50,"[11.215, 11.712, 12.721, 14.865, 15.959, 17.335, 22.25, 24.68, 26.402, 29.936, 31.375, 32.625, 34.153, 35.929]","[561, 586, 636, 743, 798, 867, 1112, 1234, 1320, 1497, 1569, 1631, 1708, 1796]","[[10.795, 44.65964]]","[[540, 2233]]",02,01,01,[33.86464],33.86464,0.69
02_01_02,34.42,50,"[6.187, 6.843, 8.155, 9.155, 10.36, 11.524, 12.64, 13.859, 15.002, 15.85, 16.568, 17.499, 18.346, 5.325]","[309, 342, 408, 458, 518, 576, 632, 693, 750, 792, 828, 875, 917, 266]","[[5.25226, 19.35642]]","[[263, 968]]",02,01,02,[14.10416],14.10416,0.41
02_01_03,28.56,50,"[8.772, 9.705, 10.408, 11.409, 12.41, 13.464, 14.423, 15.495, 16.64, 17.856, 18.831]","[439, 485, 520, 570, 620, 673, 721, 775, 832, 893, 942]","[[8.75226, 19.85642]]","[[438, 993]]",02,01,03,[11.10416],11.10416,0.39
02_01_04,34.1,50,"[7.46, 8.152, 8.947, 10.177, 11.32, 12.624, 13.177, 14.208, 14.946, 15.938, 16.971, 18.035, 19.064, 19.809, 20.772, 21.546, 22.275, 23.058, 23.857]","[373, 408, 447, 509, 566, 631, 659, 710, 747, 797, 849, 902, 953, 990, 1039, 1077, 1114, 1153, 1193]","[[7.355, 24.91892]]","[[368, 1246]]",02,01,04,[17.56392],17.56392,0.52
02_01_05,21.2,50,"[8.857, 9.372, 10.348, 11.793, 8.062]","[443, 469, 517, 590, 403]","[[8.02309, 12.79392]]","[[401, 640]]",02,01,05,[4.77083],4.77083,0.23
03_01_01,122.18,50,"[14.739, 15.978, 17.443, 22.16, 23.123, 24.49, 25.948, 27.585, 29.578, 30.594, 36.946, 37.713, 38.73, 43.858, 44.698, 48.322, 49.802, 50.97, 52.634, 54.243, 59.92, 60.955, 62.642, 69.139, 70.52, 72.53, 73.658, 75.153, 77.336, 78.704, 80.392, 81.866, 83.211, 84.754, 86.664, 88.17, 90.136, 92.035, 94.178, 96.202]","[737, 799, 872, 1108, 1156, 1224, 1297, 1379, 1479, 1530, 1847, 1886, 1936, 2193, 2235, 2416, 2490, 2548, 2632, 2712, 2996, 3048, 3132, 3457, 3526, 3626, 3683, 3758, 3867, 3935, 4020, 4093, 4161, 4238, 4333, 4408, 4507, 4602, 4709, 4810]","[[10.803, 31.84237], [36.6757, 98.50903]]","[[540, 1592], [1834, 4925]]",03,01,01,"[21.039369999999998, 61.83333]",82.8727,0.68
03_01_02,36.04,50,"[14.651, 15.7, 16.538, 17.424, 18.555, 19.482, 20.587, 21.682, 13.707]","[733, 785, 827, 871, 928, 974, 1029, 1084, 685]","[[13.633, 22.68976]]","[[682, 1134]]",03,01,02,[9.05676],9.05676,0.25
03_01_03,33.31,50,"[3.193, 3.822, 4.669, 5.551, 6.334, 7.167, 8.156, 8.95, 10.06, 10.797, 11.856, 13.071, 14.534, 15.423, 16.438, 17.32, 18.316, 19.517]","[160, 191, 233, 278, 317, 358, 408, 447, 503, 540, 593, 654, 727, 771, 822, 866, 916, 976]","[[3.12726, 20.52309]]","[[156, 1026]]",03,01,03,[17.39583],17.39583,0.52
03_01_04,23.81,50,"[9.771, 10.489, 11.658, 12.698, 13.409, 14.129, 15.314, 8.972, 8.066, 6.98]","[489, 524, 583, 635, 670, 706, 766, 449, 403, 349]","[[6.93976, 16.31476]]","[[347, 816]]",03,01,04,[9.375],9.375,0.39
03_01_05,20.81,50,"[5.059, 6.04, 6.775, 7.881, 8.921, 9.873, 10.991, 12.487, 14.05, 14.993]","[253, 302, 339, 394, 446, 494, 550, 624, 702, 750]","[[4.95, 15.98142]]","[[248, 799]]",03,01,05,[11.03142],11.03142,0.53
04_01_01,42.9,50,"[15.469, 16.487]","[773, 824]","[[11.886, 23.19089]]","[[594, 1160]]",04,01,01,[11.30489],11.30489,0.26
04_01_02,36.5,50,[],[],[],[],04,01,02,[],0.0,0.0
04_01_03,36.08,50,[],[],[],[],04,01,03,[],0.0,0.0
04_01_04,34.48,50,"[23.944, 24.633, 25.778, 26.688, 27.562, 28.611, 22.838]","[1197, 1232, 1289, 1334, 1378, 1431, 1142]","[[22.79392, 29.62726]]","[[1140, 1481]]",04,01,04,[6.83334],6.83334,0.2
