video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_01_01,59.34,50,"[6.056, 6.365, 7.029, 9.143, 10.783, 17.92, 18.575, 19.941, 21.548, 24.869, 25.993, 27.118, 28.79, 30.751, 33.623, 34.022, 37.183, 40.223, 41.246, 43.901]","[303, 318, 351, 457, 539, 896, 929, 997, 1077, 1243, 1300, 1356, 1440, 1538, 1681, 1701, 1859, 2011, 2062, 2195]","[[5.854, 11.80271], [17.831, 44.89673]]","[[293, 590], [892, 2245]]",01,01,01,"[5.948709999999999, 27.06573]",33.01444,0.56
01_01_02,32.48,50,"[3.745, 4.379, 5.276, 6.407, 7.183, 7.958, 9.183, 10.127, 11.072, 12.276, 12.902, 14.023]","[187, 219, 264, 320, 359, 398, 459, 506, 554, 614, 645, 701]","[[3.678, 15.02309]]","[[184, 751]]",01,01,02,[11.345089999999999],11.345089999999999,0.35
01_01_03,31.34,50,[],[],[],[],01,01,03,[],0,0
01_01_04,14.78,50,[],[],[],[],01,01,04,[],0,0
01_01_05,12.4,50,[],[],[],[],01,01,05,[],0,0
01_02_01,29.64,50,"[3.798, 7.207, 9.072, 11.045, 12.841, 14.71, 18.038]","[190, 360, 454, 552, 642, 736, 902]","[[3.75226, 19.02309]]","[[188, 951]]",01,02,01,[15.27083],15.27083,0.52
01_02_02,19.6,50,[],[],[],[],01,02,02,[],0,0
01_02_03,18.52,50,[],[],[],[],01,02,03,[],0,0
01_02_04,17.1,50,[],[],[],[],01,02,04,[],0,0
01_02_05,23.08,50,"[11.014, 12.29, 13.554, 14.833, 9.697]","[551, 614, 678, 742, 485]","[[9.60642, 15.85642]]","[[480, 793]]",01,02,05,[6.25],6.25,0.27
01_03_01,51.24,50,"[8.837, 9.709, 11.445, 12.893, 14.165, 29.501, 29.948, 31.493, 32.589, 33.933, 35.285, 38.261]","[442, 485, 572, 645, 708, 1475, 1497, 1575, 1629, 1697, 1764, 1913]","[[6.245, 15.14809], [29.22, 39.28079]]","[[312, 757], [1461, 1964]]",01,03,01,"[8.903089999999999, 10.060790000000004]",18.963880000000003,0.37
01_03_02,29.96,50,"[3.701, 5.023, 6.147, 7.355, 8.74, 10.161, 11.252, 12.322, 2.804]","[185, 251, 307, 368, 437, 508, 563, 616, 140]","[[2.75226, 13.31476]]","[[138, 666]]",01,03,02,[10.5625],10.5625,0.35
01_03_03,21.46,50,[],[],[],[],01,03,03,[],0,0
01_03_04,23.8,50,[],[],[],[],01,03,04,[],0,0
01_03_05,25.96,50,"[5.599, 6.389, 7.487, 8.856, 10.19, 11.671, 19.725, 20.754, 21.804, 23.179, 24.452]","[280, 319, 374, 443, 510, 584, 986, 1038, 1090, 1159, 1223]","[[5.444, 12.66892], [19.604, 25.54392]]","[[272, 633], [980, 1277]]",01,03,05,"[7.22492, 5.939920000000001]",13.164840000000002,0.51
01_04_01,93.46,50,"[7.889, 9.047, 10.634, 13.409, 17.395, 20.297, 22.079, 53.232, 53.872, 55.143, 56.256, 58.16, 59.489, 60.977, 64.544, 66.673, 68.801, 69.607, 71.777]","[394, 452, 532, 670, 870, 1015, 1104, 2662, 2694, 2757, 2813, 2908, 2974, 3049, 3227, 3334, 3440, 3480, 3589]","[[6.47523, 23.08634], [52.833, 72.8919]]","[[324, 1154], [2642, 3645]]",01,04,01,"[16.61111, 20.05890000000001]",36.670010000000005,0.39
01_04_02,39.3,50,"[3.826, 4.601, 5.523, 6.266, 7.283, 8.209, 25.355, 26.379, 27.235, 28.394, 24.512]","[191, 230, 276, 313, 364, 410, 1268, 1319, 1362, 1420, 1226]","[[3.79392, 9.21059], [24.43976, 29.43976]]","[[190, 461], [1222, 1472]]",01,04,02,"[5.41667, 5.0]",10.41667,0.27
01_04_03,40.74,50,"[17.382, 18.532, 19.834, 20.618, 21.301, 21.956, 22.554, 23.481, 24.346, 25.346, 26.273, 27.277, 28.308, 29.162]","[869, 927, 992, 1031, 1065, 1098, 1128, 1174, 1217, 1267, 1314, 1364, 1415, 1458]","[[17.35642, 30.16892]]","[[868, 1508]]",01,04,03,[12.8125],12.8125,0.31
