video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_02_01,156.78,50,"[5.008, 6.031, 10.602, 11.518, 12.265, 13.361, 14.329, 16.088, 22.72, 23.384, 23.951, 24.968, 32.896, 33.68, 34.951, 44.211, 45.084, 46.115, 47.49, 48.405, 49.434, 57.518, 58.934, 59.535, 61.103, 63.182, 64.653, 65.213, 66.392, 67.559, 73.297, 74.049, 75.096, 76.187, 77.495, 78.96, 80.391, 81.671, 82.542, 83.944, 85.226, 93.025, 94.112, 95.081, 96.459, 97.737, 99.587, 106.514, 107.305, 108.537, 109.831, 110.905, 111.763, 112.915, 113.905, 114.737, 115.652, 116.705, 117.761, 118.826, 120.457, 121.161, 121.915, 122.699, 123.562, 124.714, 125.963, 126.966, 128.001, 129.049, 129.986, 130.979, 132.02, 133.155, 134.324, 135.714, 136.963, 138.026, 138.849, 142.792, 144.102, 144.575, 146.102, 147.792]","[250, 302, 530, 576, 613, 668, 716, 804, 1136, 1169, 1198, 1248, 1645, 1684, 1748, 2211, 2254, 2306, 2374, 2420, 2472, 2876, 2947, 2977, 3055, 3159, 3233, 3261, 3320, 3378, 3665, 3702, 3755, 3809, 3875, 3948, 4020, 4084, 4127, 4197, 4261, 4651, 4706, 4754, 4823, 4887, 4979, 5326, 5365, 5427, 5492, 5545, 5588, 5646, 5695, 5737, 5783, 5835, 5888, 5941, 6023, 6058, 6096, 6135, 6178, 6236, 6298, 6348, 6400, 6452, 6499, 6549, 6601, 6658, 6716, 6786, 6848, 6901, 6942, 7140, 7205, 7229, 7305, 7390]","[[4.607, 7.59237], [10.1757, 17.25903], [22.52519, 26.09237], [32.79792, 35.97974], [44.18428, 50.47974], [57.43244, 68.6757], [73.0753, 86.28959], [92.30542, 100.65542], [106.334, 148.84237]]","[[230, 380], [509, 863], [1126, 1305], [1640, 1799], [2209, 2524], [2872, 3434], [3654, 4314], [4615, 5033], [5317, 7442]]",01,02,01,"[2.9853699999999996, 7.083329999999998, 3.5671800000000005, 3.181820000000002, 6.2954599999999985, 11.243260000000006, 13.214290000000005, 8.350000000000009, 42.508369999999985]",98.42908,0.63
01_02_02,92.68,50,"[33.302, 34.368, 35.334, 36.351, 38.469, 39.567, 41.022, 62.238, 63.654, 64.821, 65.718, 66.917, 68.468, 76.03, 74.859, 77.219, 73.364, 69.979, 71.373]","[1665, 1718, 1767, 1818, 1923, 1978, 2051, 3112, 3183, 3241, 3286, 3346, 3423, 3802, 3743, 3861, 3668, 3499, 3569]","[[33.119, 42.03464], [62.19089, 78.25339]]","[[1656, 2102], [3110, 3913]]",01,02,02,"[8.915640000000003, 16.062499999999993]",24.978139999999996,0.27
01_02_03,68.08,50,"[27.161, 28.472, 29.73, 30.977, 31.964, 34.272, 33.17]","[1358, 1424, 1486, 1549, 1598, 1714, 1658]","[[27.128, 35.25301]]","[[1356, 1763]]",01,02,03,[8.125010000000003],8.125010000000003,0.12
01_02_04,75.54,50,"[24.543, 25.953, 27.31, 28.49, 29.808, 31.041, 32.215, 33.382, 34.495, 35.55, 36.687, 37.967, 39.272, 40.287]","[1227, 1298, 1366, 1424, 1490, 1552, 1611, 1669, 1725, 1777, 1834, 1898, 1964, 2014]","[[24.407, 41.3253]]","[[1220, 2066]]",01,02,04,[16.9183],16.9183,0.22
01_02_05,76.18,50,[],[],[],[],01,02,05,[],0.0,0.0
01_03_01,152.08,50,"[2.722, 4.082, 5.322, 7.003, 9.054, 12.44, 13.944, 16.018, 50.827, 52.128, 53.445, 56.103, 57.535, 59.128, 60.727, 63.615, 65.592, 66.96, 69.583, 71.248, 74.301, 76.269, 83.176, 84.411, 86.529, 89.303, 93.487, 10.939, 28.046, 28.443, 29.501, 30.273, 31.457, 32.624, 35.579, 36.473, 37.184, 38.752, 42.483, 42.825, 43.835, 91.567, 121.826, 122.185, 123.042, 124.228, 126.119, 130.809, 131.273, 131.952, 132.912, 134.274, 120.43]","[136, 204, 266, 350, 453, 622, 697, 801, 2541, 2606, 2672, 2805, 2877, 2956, 3036, 3181, 3280, 3348, 3479, 3562, 3715, 3813, 4159, 4221, 4326, 4465, 4674, 547, 1402, 1422, 1475, 1514, 1573, 1631, 1779, 1824, 1859, 1938, 2124, 2141, 2192, 4578, 6091, 6109, 6152, 6211, 6306, 6540, 6564, 6598, 6646, 6714, 6022]","[[2.13177, 17.07771], [50.50677, 78.06927], [82.821, 95.00677], [120.15542, 135.30542], [27.93244, 44.89673]]","[[107, 854], [2525, 3903], [4141, 4750], [6008, 6765], [1397, 2245]]",01,03,01,"[14.94594, 27.5625, 12.185770000000005, 15.149999999999991, 16.96429]",86.80850000000001,0.57
01_03_02,122.26,50,"[59.198, 60.055, 61.384, 62.568, 63.451, 64.599, 65.487, 66.175, 67.688, 68.984, 70.007, 71.289, 72.663, 73.695, 74.551, 75.401, 76.441, 77.464]","[2960, 3003, 3069, 3128, 3173, 3230, 3274, 3309, 3384, 3449, 3500, 3564, 3633, 3685, 3728, 3770, 3822, 3873]","[[59.11101, 78.50387]]","[[2956, 3925]]",01,03,02,[19.392860000000006],19.392860000000006,0.16
01_03_03,93.8,50,"[42.418, 43.561, 44.604, 45.767, 46.769, 71.168, 72.551, 69.783, 68.504, 80.458, 81.452, 82.361, 83.305, 84.593, 85.585, 86.842]","[2121, 2178, 2230, 2288, 2338, 3558, 3628, 3489, 3425, 4023, 4073, 4118, 4165, 4230, 4279, 4342]","[[42.3661, 47.77519], [68.402, 73.6161], [80.454, 87.8661]]","[[2118, 2389], [3420, 3681], [4023, 4393]]",01,03,03,"[5.409089999999999, 5.214100000000002, 7.4121000000000095]",18.03529000000001,0.19
01_03_04,92.92,50,"[38.864, 39.488, 40.414, 41.633, 42.434, 43.633, 44.769]","[1943, 1974, 2021, 2082, 2122, 2182, 2238]","[[38.68976, 45.81476]]","[[1934, 2291]]",01,03,04,[7.125],7.125,0.08
01_03_05,91.82,50,[],[],[],[],01,03,05,[],0.0,0.0
01_04_01,208.2,50,"[6.477, 7.91, 9.757, 12.043, 14.149, 36.168, 37.853, 54.373, 55.157, 56.991, 59.661, 61.026, 62.501, 64.332, 66.197, 67.927, 70, 71.918, 73.462, 75.188, 134.269, 135.3, 136.404, 137.813, 139.474, 148.501, 149.332, 150.539, 151.82, 153.3, 154.751, 156.019, 157.532, 159.272, 160.707, 162.38, 163.745, 165.646, 168.452, 172.501, 175.038, 176.525, 182.452, 184.205, 187.89]","[324, 396, 488, 602, 707, 1808, 1893, 2719, 2758, 2850, 2983, 3051, 3125, 3217, 3310, 3396, 3500, 3596, 3673, 3759, 6713, 6765, 6820, 6891, 6974, 7425, 7467, 7527, 7591, 7665, 7738, 7801, 7877, 7964, 8035, 8119, 8187, 8282, 8423, 8625, 8752, 8826, 9123, 9210, 9394]","[[4.38855, 16.88855], [34.389, 39.88855], [53.26355, 77.38855], [133.245, 141.26355], [147.76355, 189.38855]]","[[219, 844], [1719, 1994], [2663, 3869], [6662, 7063], [7388, 9469]]",01,04,01,"[12.499999999999998, 5.499549999999999, 24.124999999999993, 8.018550000000005, 41.625]",91.7681,0.44
01_04_02,131.22,50,"[55.607, 58.803, 59.408, 60.323, 67.224, 68.207, 69.839, 71.351, 89.239, 90.167, 91.248, 92.32, 93.655, 105.016, 105.8, 106.695, 115.783, 113.147, 114.489, 116.986, 118.273, 119.419, 56.868, 57.934, 66.041, 88.264, 103.639]","[2780, 2940, 2970, 3016, 3361, 3410, 3492, 3568, 4462, 4508, 4562, 4616, 4683, 5251, 5290, 5335, 5789, 5657, 5724, 5849, 5914, 5971, 2843, 2897, 3302, 4413, 5182]","[[55.48, 61.37771], [65.97771, 72.42771], [88.12771, 94.70271], [103.65271, 107.70271], [113.047, 120.35271]]","[[2774, 3069], [3299, 3621], [4406, 4735], [5183, 5385], [5652, 6018]]",01,04,02,"[5.897710000000004, 6.450000000000003, 6.575000000000003, 4.049999999999997, 7.305710000000005]",30.27842000000001,0.23
01_04_03,109.22,50,"[33.642, 34.528, 35.752, 37.048, 38.202, 39.418, 40.96, 42.52, 43.667, 45.041, 46.374, 47.623, 48.927, 50.175, 51.143, 52.135, 53.351, 54.473, 55.759, 57.263, 58.451, 77.715, 75.363, 76.619, 79.003, 90.278, 93.916, 92.153, 89.613]","[1682, 1726, 1788, 1852, 1910, 1971, 2048, 2126, 2183, 2252, 2319, 2381, 2446, 2509, 2557, 2607, 2668, 2724, 2788, 2863, 2923, 3886, 3768, 3831, 3950, 4514, 4696, 4608, 4481]","[[33.592, 59.55542], [75.18244, 80.0753], [89.433, 94.96816]]","[[1680, 2978], [3759, 4004], [4472, 4748]]",01,04,03,"[25.96342, 4.892859999999999, 5.5351599999999905]",36.39143999999999,0.33
01_04_04,98.82,50,"[31.121, 32.188, 33.249, 34.416, 35.337, 36.891, 38.198, 39.214, 40.415, 41.882, 81.062, 81.894, 83.32, 80.031, 79.32]","[1556, 1609, 1662, 1721, 1767, 1845, 1910, 1961, 2021, 2094, 4053, 4095, 4166, 4002, 3966]","[[31.05857, 42.8919], [79.311, 84.3919]]","[[1553, 2145], [3966, 4220]]",01,04,04,"[11.83333, 5.0809]",16.91423,0.17
01_04_05,92.18,50,[],[],[],[],01,04,05,[],0.0,0.0
02_02_01,129.62,50,"[35.427, 35.666, 36.25, 36.809, 37.673, 39.113, 42.13, 42.53, 43.795, 46.171, 48.738, 50.634, 52.858, 54.669, 58.073, 59.059, 62.682, 63.882, 77.137, 77.425, 78.299, 79.395, 83.867, 85.105, 87.312, 89.962, 92.81, 106.84, 107.074, 107.789, 108.889, 111.01, 113.411]","[1771, 1783, 1812, 1840, 1884, 1956, 2106, 2126, 2190, 2309, 2437, 2532, 2643, 2733, 2904, 2953, 3134, 3194, 3857, 3871, 3915, 3970, 4193, 4255, 4366, 4498, 4640, 5342, 5354, 5389, 5444, 5550, 5671]","[[35.357, 64.92118], [77.209, 93.79618], [106.702, 114.50452]]","[[1768, 3246], [3860, 4690], [5335, 5725]]",02,02,01,"[29.564180000000007, 16.587180000000004, 7.802520000000001]",53.95388000000001,0.42
