video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_04_01,208.2,50,"[6.477, 7.91, 9.757, 12.043, 14.149, 36.168, 37.853, 54.373, 55.157, 56.991, 59.661, 61.026, 62.501, 64.332, 66.197, 67.927, 70, 71.918, 73.462, 75.188, 134.269, 135.3, 136.404, 137.813, 139.474, 148.501, 149.332, 150.539, 151.82, 153.3, 154.751, 156.019, 157.532, 159.272, 160.707, 162.38, 163.745, 165.646, 168.452, 172.501, 175.038, 176.525, 182.452, 184.205, 187.89]","[324, 396, 488, 602, 707, 1808, 1893, 2719, 2758, 2850, 2983, 3051, 3125, 3217, 3310, 3396, 3500, 3596, 3673, 3759, 6713, 6765, 6820, 6891, 6974, 7425, 7467, 7527, 7591, 7665, 7738, 7801, 7877, 7964, 8035, 8119, 8187, 8282, 8423, 8625, 8752, 8826, 9123, 9210, 9394]","[[4.38855, 16.88855], [34.389, 39.88855], [53.26355, 77.38855], [133.245, 141.26355], [147.76355, 189.38855]]","[[219, 844], [1719, 1994], [2663, 3869], [6662, 7063], [7388, 9469]]",01,04,01,"[12.499999999999998, 5.499549999999999, 24.124999999999993, 8.018550000000005, 41.625]",91.7681,0.44
01_04_02,131.22,50,"[55.607, 58.803, 59.408, 60.323, 67.224, 68.207, 69.839, 71.351, 89.239, 90.167, 91.248, 92.32, 93.655, 105.016, 105.8, 106.695, 115.783, 113.147, 114.489, 116.986, 118.273, 119.419, 56.868, 57.934, 66.041, 88.264, 103.639]","[2780, 2940, 2970, 3016, 3361, 3410, 3492, 3568, 4462, 4508, 4562, 4616, 4683, 5251, 5290, 5335, 5789, 5657, 5724, 5849, 5914, 5971, 2843, 2897, 3302, 4413, 5182]","[[55.48, 61.37771], [65.97771, 72.42771], [88.12771, 94.70271], [103.65271, 107.70271], [113.047, 120.35271]]","[[2774, 3069], [3299, 3621], [4406, 4735], [5183, 5385], [5652, 6018]]",01,04,02,"[5.897710000000004, 6.450000000000003, 6.575000000000003, 4.049999999999997, 7.305710000000005]",30.27842000000001,0.23
01_04_03,109.22,50,"[33.642, 34.528, 35.752, 37.048, 38.202, 39.418, 40.96, 42.52, 43.667, 45.041, 46.374, 47.623, 48.927, 50.175, 51.143, 52.135, 53.351, 54.473, 55.759, 57.263, 58.451, 77.715, 75.363, 76.619, 79.003, 90.278, 93.916, 92.153, 89.613]","[1682, 1726, 1788, 1852, 1910, 1971, 2048, 2126, 2183, 2252, 2319, 2381, 2446, 2509, 2557, 2607, 2668, 2724, 2788, 2863, 2923, 3886, 3768, 3831, 3950, 4514, 4696, 4608, 4481]","[[33.592, 59.55542], [75.18244, 80.0753], [89.433, 94.96816]]","[[1680, 2978], [3759, 4004], [4472, 4748]]",01,04,03,"[25.96342, 4.892859999999999, 5.5351599999999905]",36.39143999999999,0.33
01_04_04,98.82,50,"[31.121, 32.188, 33.249, 34.416, 35.337, 36.891, 38.198, 39.214, 40.415, 41.882, 81.062, 81.894, 83.32, 80.031, 79.32]","[1556, 1609, 1662, 1721, 1767, 1845, 1910, 1961, 2021, 2094, 4053, 4095, 4166, 4002, 3966]","[[31.05857, 42.8919], [79.311, 84.3919]]","[[1553, 2145], [3966, 4220]]",01,04,04,"[11.83333, 5.0809]",16.91423,0.17
01_04_05,92.18,50,[],[],[],[],01,04,05,[],0.0,0.0
02_04_01,154.28,50,"[44.29, 44.962, 45.895, 47.684, 48.937, 50.554, 52.197, 54.825, 56.108, 60.573, 65.979, 67.905, 69.121, 70.274, 73.586, 75.237, 78.325, 79.386, 98.665, 99.498, 100.401, 102.168, 103.617, 108.282, 108.804, 110.866, 112.186, 113.937, 117.073, 117.948, 119.524, 121.85, 123.003, 124.945, 130.61, 131.965, 134.905]","[2214, 2248, 2295, 2384, 2447, 2528, 2610, 2741, 2805, 3029, 3299, 3395, 3456, 3514, 3679, 3762, 3916, 3969, 4933, 4975, 5020, 5108, 5181, 5414, 5440, 5543, 5609, 5697, 5854, 5897, 5976, 6092, 6150, 6247, 6531, 6598, 6745]","[[43.114, 80.50542], [98.65542, 136.00542]]","[[2156, 4025], [4933, 6800]]",02,04,01,"[37.391420000000004, 37.34999999999998]",74.74141999999998,0.48
02_04_02,105.3,50,"[40.96, 38.83, 40.038, 41.959, 43.341, 44.583, 45.83, 47.158, 48.158, 49.461, 50.596, 51.75, 53.157, 54.549, 55.976, 57.248, 58.452, 59.684, 60.924, 62.124, 63.509, 69.868, 71.267, 72.606, 73.956, 75.308, 76.551, 77.855, 79.07]","[2048, 1942, 2002, 2098, 2167, 2229, 2292, 2358, 2408, 2473, 2530, 2588, 2658, 2727, 2799, 2862, 2923, 2984, 3046, 3106, 3175, 3493, 3563, 3630, 3698, 3765, 3828, 3893, 3953]","[[38.698, 64.52309], [69.658, 80.14673]]","[[1935, 3226], [3483, 4007]]",02,04,02,"[25.825089999999996, 10.488730000000004]",36.31382,0.34
02_04_03,58.76,50,"[49.813, 50.526, 51.651, 52.812, 53.987]","[2491, 2526, 2583, 2641, 2699]","[[49.769, 55.02309]]","[[2488, 2751]]",02,04,03,[5.254090000000005],5.254090000000005,0.09
02_04_04,50.44,50,[],[],[],[],02,04,04,[],0.0,0.0
02_04_05,58.04,50,[],[],[],[],02,04,05,[],0.0,0.0
