video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_04_01,91.4,50,"[5.985, 6.402, 7.37, 8.746, 9.642, 11.097, 12.017, 13.177, 14.098, 15.834, 18.028, 18.787, 20.643, 21.538, 22.441, 23.296, 24.259, 25.394, 26.882, 27.898, 31.045, 31.811, 32.949, 34.292, 46.451, 47.146, 48.629, 49.61, 50.419, 51.865, 53.178, 54.033, 54.978, 55.912, 56.62, 57.187, 58.157, 58.908, 59.585, 60.396, 61.467, 62.363, 63.364, 64.136, 65.131, 66.034, 74.481, 75.051, 75.924, 77.451, 78.513, 79.504, 80.747, 81.875, 83.323, 84.195, 85.134, 86.105, 86.98, 88.042, 88.9, 89.947]","[299, 320, 368, 437, 482, 555, 601, 659, 705, 792, 901, 939, 1032, 1077, 1122, 1165, 1213, 1270, 1344, 1395, 1552, 1591, 1647, 1715, 2323, 2357, 2431, 2480, 2521, 2593, 2659, 2702, 2749, 2796, 2831, 2859, 2908, 2945, 2979, 3020, 3073, 3118, 3168, 3207, 3257, 3302, 3724, 3753, 3796, 3873, 3926, 3975, 4037, 4094, 4166, 4210, 4257, 4305, 4349, 4402, 4445, 4497]","[[5.85271, 35.35271], [45.258, 67.08785], [74.00452, 91.37952]]","[[293, 1768], [2263, 3354], [3700, 4569]]",01,04,01,"[29.5, 21.82985, 17.375]",68.70485,0.75
01_04_02,91.48,50,"[2.141, 3.309, 4.782, 5.736, 6.581, 7.494, 8.381, 9.541, 10.861, 11.701, 12.885, 13.973, 14.821, 15.881, 33.021, 34.054, 35.133, 36.269, 37.341, 38.453, 39.725, 41.054, 42.061, 43.165, 44.409, 48.303, 50.406, 45.803, 47.046, 49.189, 51.555, 67.26, 68.522, 69.643, 70.834, 72.395, 73.469, 74.636, 76.731, 77.589, 78.803, 79.803, 80.947, 82.139, 83.45]","[107, 165, 239, 287, 329, 375, 419, 477, 543, 585, 644, 699, 741, 794, 1651, 1703, 1757, 1813, 1867, 1923, 1986, 2053, 2103, 2158, 2220, 2415, 2520, 2290, 2352, 2459, 2578, 3363, 3426, 3482, 3542, 3620, 3673, 3732, 3837, 3879, 3940, 3990, 4047, 4107, 4172]","[[2.092, 16.89809], [32.94089, 52.59714], [67.191, 84.44089]]","[[105, 845], [1647, 2630], [3360, 4222]]",01,04,02,"[14.80609, 19.65625, 17.249889999999994]",51.71222999999999,0.57
01_04_03,91.34,50,"[5.872, 6.92, 7.984, 9.017, 9.801, 10.753, 11.753, 13.432, 14.712, 15.648, 16.907, 18.289, 19.232, 20.656, 21.664, 22.664, 23.688, 24.768, 26.216, 41.85, 42.944, 44.385, 45.624, 46.68, 47.912, 48.943, 49.984, 51.352, 52.68, 53.903, 55.071, 61.76, 63.021, 64.355, 65.841, 67.008, 67.991, 69.426, 71.016, 72.258, 73.967, 75.116, 75.856, 76.872, 77.936, 78.88, 80.423, 81.944, 83.159, 84.383, 85.576]","[294, 346, 399, 451, 490, 538, 588, 672, 736, 782, 845, 914, 962, 1033, 1083, 1133, 1184, 1238, 1311, 2092, 2147, 2219, 2281, 2334, 2396, 2447, 2499, 2568, 2634, 2695, 2754, 3088, 3151, 3218, 3292, 3350, 3400, 3471, 3551, 3613, 3698, 3756, 3793, 3844, 3897, 3944, 4021, 4097, 4158, 4219, 4279]","[[5.728, 27.19427], [41.75677, 56.13177], [61.725, 86.63177]]","[[286, 1360], [2088, 2807], [3086, 4332]]",01,04,03,"[21.46627, 14.375, 24.90677]",60.74804,0.67
01_04_04,91.44,50,"[6.459, 7.72, 8.728, 10.145, 11.488, 12.736, 13.752, 14.608, 15.834, 17.392, 18.788, 19.722, 20.608, 21.824, 22.8, 23.496, 24.984, 26.888, 41.736, 42.841, 43.8, 45.048, 51.299, 52.034, 53.295, 55.04, 56.184, 57.327, 58.517, 59.837, 71.762, 72.745, 73.835, 74.828, 75.937, 77.065, 78.351, 79.393, 80.667, 82.225, 83.641]","[323, 386, 436, 507, 574, 637, 688, 730, 792, 870, 939, 986, 1030, 1091, 1140, 1175, 1249, 1344, 2087, 2142, 2190, 2252, 2565, 2602, 2665, 2752, 2809, 2866, 2926, 2992, 3588, 3637, 3692, 3741, 3797, 3853, 3918, 3970, 4033, 4111, 4182]","[[6.43976, 27.87726], [41.696, 46.00226], [51.25226, 60.81476], [71.703, 84.68244]]","[[322, 1394], [2085, 2300], [2563, 3041], [3585, 4234]]",01,04,04,"[21.4375, 4.306260000000002, 9.5625, 12.979439999999997]",48.2857,0.53
01_04_05,91.36,50,"[11.213, 11.978, 12.748, 13.814, 14.704, 15.581, 34.372, 35.361, 36.189, 36.904, 52.92, 53.825, 54.556, 55.37, 56.346, 57.1, 57.926, 58.857, 74.162, 74.842, 75.418, 76.34, 77.531]","[561, 599, 637, 691, 735, 779, 1719, 1768, 1809, 1845, 2646, 2691, 2728, 2768, 2817, 2855, 2896, 2943, 3708, 3742, 3771, 3817, 3877]","[[11.145, 16.60642], [34.261, 37.90964], [52.60542, 59.90542], [73.81927, 78.63177]]","[[557, 830], [1713, 1895], [2630, 2995], [3691, 3932]]",01,04,05,"[5.46142, 3.6486400000000003, 7.299999999999997, 4.8125]",21.222559999999998,0.23
02_04_01,102.48,50,"[10.381, 10.719, 11.617, 12.716, 13.625, 15.039, 16.17, 17.36, 19.311, 20.608, 21.951, 24.029, 24.866, 26.064, 27.289, 28.425, 29.818, 30.975, 32.002, 34.583, 35.911, 37.328, 39.247, 42.455, 43.367, 44.744, 45.872, 47.127, 48.28, 50.896, 51.773, 52.929, 54.215, 55.827, 73.687, 73.952, 74.967, 75.98, 77.516, 79.225, 81.64, 85.593, 86.184, 88.551, 89.993, 91.449, 93.471, 94.36]","[519, 536, 581, 636, 681, 752, 809, 868, 966, 1030, 1098, 1201, 1243, 1303, 1364, 1421, 1491, 1549, 1600, 1729, 1796, 1866, 1962, 2123, 2168, 2237, 2294, 2356, 2414, 2545, 2589, 2646, 2711, 2791, 3684, 3698, 3748, 3799, 3876, 3961, 4082, 4280, 4309, 4428, 4500, 4572, 4674, 4718]","[[10.34714, 56.93244], [72.973, 95.50387]]","[[517, 2847], [3649, 4775]]",02,04,01,"[46.585300000000004, 22.530870000000007]",69.11617000000001,0.67
02_04_02,101.8,50,"[15.563, 17.4, 18.488, 19.432, 20.482, 21.552, 31.945, 30.877, 33.107, 34.43, 35.766, 36.987, 38.093, 66.219, 67.183, 68.117, 69.204, 80.78, 81.933, 83.291, 84.691, 85.552, 86.341, 87.275, 88.077, 88.973, 89.781, 90.907, 91.859, 92.829]","[778, 870, 924, 972, 1024, 1078, 1597, 1544, 1655, 1722, 1788, 1849, 1905, 3311, 3359, 3406, 3460, 4039, 4097, 4165, 4235, 4278, 4317, 4364, 4404, 4449, 4489, 4545, 4593, 4641]","[[15.465, 22.60642], [30.80857, 39.1419], [66.142, 70.19746], [80.69746, 93.83634]]","[[773, 1130], [1540, 1957], [3307, 3510], [4035, 4692]]",02,04,02,"[7.14142, 8.33333, 4.055460000000011, 13.13888]",32.66909000000001,0.32
02_04_03,115.0,50,"[17.096, 18.138, 19.46, 20.864, 22.064, 23.314, 24.424, 25.384, 26.44, 27.207, 28.256, 29.193, 30.144, 31.048, 32.073, 33.061, 33.924, 42.288, 43.272, 44.472, 45.936, 47.04, 48.144, 49.264, 50.106, 50.96, 51.784, 52.88, 54.211, 58.936, 55.478, 56.643, 57.713, 60.315, 61.64, 62.764, 63.786, 64.674, 65.642, 66.579, 79.836, 80.858, 82.444, 83.706, 84.874, 85.913, 86.859, 87.833, 89.207, 90.314, 91.465, 92.626, 93.631, 94.497, 95.271, 96.422, 97.422, 98.625, 99.69, 100.816, 101.982, 103.046, 104.458, 105.783, 106.887, 107.978, 109.255]","[855, 907, 973, 1043, 1103, 1166, 1221, 1269, 1322, 1360, 1413, 1460, 1507, 1552, 1604, 1653, 1696, 2114, 2164, 2224, 2297, 2352, 2407, 2463, 2505, 2548, 2589, 2644, 2711, 2947, 2774, 2832, 2886, 3016, 3082, 3138, 3189, 3234, 3282, 3329, 3992, 4043, 4122, 4185, 4244, 4296, 4343, 4392, 4460, 4516, 4573, 4631, 4682, 4725, 4764, 4821, 4871, 4931, 4984, 5041, 5099, 5152, 5223, 5289, 5344, 5399, 5463]","[[17.02771, 34.90271], [42.286, 67.54618], [79.835, 110.34237]]","[[851, 1745], [2114, 3377], [3992, 5517]]",02,04,03,"[17.875, 25.260180000000005, 30.50737000000001]",73.64255000000001,0.64
02_04_04,86.82,50,"[12.507, 13.843, 15.036, 15.923, 16.875, 17.83, 18.747, 19.947, 33.404, 34.379, 35.422, 36.499, 37.611, 38.603, 39.955, 41.163, 42.267, 53.568, 54.578, 56.122, 57.242, 58.257, 59.404, 60.457, 61.466, 62.693, 63.649, 64.546, 65.617, 66.612, 67.596, 68.937, 69.876, 70.705, 71.521, 72.651, 73.554, 74.61, 75.561, 76.577]","[625, 692, 752, 796, 844, 891, 937, 997, 1670, 1719, 1771, 1825, 1881, 1930, 1998, 2058, 2113, 2678, 2729, 2806, 2862, 2913, 2970, 3023, 3073, 3135, 3182, 3227, 3281, 3331, 3380, 3447, 3494, 3535, 3576, 3633, 3678, 3730, 3778, 3829]","[[12.50226, 20.93976], [33.37839, 43.28464], [53.585, 77.60542]]","[[625, 1047], [1669, 2164], [2679, 3880]]",02,04,04,"[8.4375, 9.90625, 24.020419999999994]",42.364169999999994,0.49
02_04_05,90.78,50,"[15.58, 16.275, 17.217, 18.038, 18.664, 19.2, 20.016, 20.864, 21.673, 38.52, 39.127, 39.951, 41.015, 41.978, 43.144, 44.223, 44.823, 45.184, 45.667, 46.401, 47.218, 47.866, 49.039, 49.999, 51.032, 51.984, 52.787, 53.624, 54.32, 54.943, 55.955, 64.568, 65.476, 66.306, 67.124, 67.769, 68.45, 69.253, 69.889, 70.559, 71.107, 71.837, 72.906, 73.61, 74.308, 74.891, 75.388, 76.052, 76.633, 77.722, 78.771, 79.636]","[779, 814, 861, 902, 933, 960, 1001, 1043, 1084, 1926, 1956, 1998, 2051, 2099, 2157, 2211, 2241, 2259, 2283, 2320, 2361, 2393, 2452, 2500, 2552, 2599, 2639, 2681, 2716, 2747, 2798, 3228, 3274, 3315, 3356, 3388, 3422, 3463, 3494, 3528, 3555, 3592, 3645, 3680, 3715, 3745, 3769, 3803, 3832, 3886, 3939, 3982]","[[15.474, 22.71059], [38.426, 56.96059], [64.50387, 80.68244]]","[[774, 1136], [1921, 2848], [3225, 4034]]",02,04,05,"[7.23659, 18.53459, 16.178569999999993]",41.949749999999995,0.46
