video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
02_01_01,47.32,50,"[9.449, 10.073, 11.449, 13.131, 14.952, 15.954, 17.392, 18.56, 19.787, 20.706, 22.291, 31.025, 31.432, 32.337, 33.488, 34.944, 7.889]","[472, 504, 572, 657, 748, 798, 870, 928, 989, 1035, 1115, 1551, 1572, 1617, 1674, 1747, 394]","[[7.81476, 23.31476], [30.75, 36.02519]]","[[391, 1166], [1538, 1801]]",02,01,01,"[15.5, 5.275190000000002]",20.775190000000002,0.44
02_01_02,52.58,50,"[12.469, 13.546, 14.451, 15.205, 15.961, 16.757, 17.757, 33.16, 33.664, 34.648, 35.696, 36.912, 37.8, 39.288, 40.082, 41.113, 42.208, 43.256, 44.296, 45.456, 46.584, 47.976, 32.007]","[623, 677, 723, 760, 798, 838, 888, 1658, 1683, 1732, 1785, 1846, 1890, 1964, 2004, 2056, 2110, 2163, 2215, 2273, 2329, 2399, 1600]","[[32.016, 49.00339], [12.40964, 18.75339]]","[[1601, 2450], [620, 938]]",02,01,02,"[16.987390000000005, 6.34375]",23.331140000000005,0.44
02_01_03,38.56,50,"[16.672, 17.594, 18.64, 19.545, 20.547, 21.511, 22.428, 23.328, 15.462]","[834, 880, 932, 977, 1027, 1076, 1121, 1166, 773]","[[15.43976, 24.35642]]","[[772, 1218]]",02,01,03,[8.91666],8.91666,0.23
02_01_04,26.9,50,"[8.239, 8.832, 9.627, 10.569, 11.474, 7.181]","[412, 442, 481, 528, 574, 359]","[[7.14809, 12.48142]]","[[357, 624]]",02,01,04,[5.33333],5.33333,0.2
02_01_05,30.86,50,"[15.917, 16.823, 18.096, 14.581]","[796, 841, 905, 729]","[[14.54392, 19.10642]]","[[727, 955]]",02,01,05,[4.5625],4.5625,0.15
02_02_01,95.76,50,"[19.823, 20.703, 21.619, 22.698, 23.881, 25.471, 26.855, 28.345, 29.129, 30.281, 31.392, 32.545, 33.78, 35.201, 36.754, 37.73, 39.407, 40.568, 42.008, 43.007, 44.841, 46.272, 47.72, 49.41, 51.057, 52.218, 53.92, 62.544, 63.711, 64.826, 65.751, 66.952, 68.12, 69.088, 70.504, 71.569, 72.618, 73.977, 75.522, 76.417, 77.778, 79.507, 80.687, 82.354, 83.498, 84.488, 85.458, 86.73, 87.681, 88.945, 89.836, 90.993, 92.155, 93.295]","[991, 1035, 1081, 1135, 1194, 1274, 1343, 1417, 1456, 1514, 1570, 1627, 1689, 1760, 1838, 1886, 1970, 2028, 2100, 2150, 2242, 2314, 2386, 2470, 2553, 2611, 2696, 3127, 3186, 3241, 3288, 3348, 3406, 3454, 3525, 3578, 3631, 3699, 3776, 3821, 3889, 3975, 4034, 4118, 4175, 4224, 4273, 4336, 4384, 4447, 4492, 4550, 4608, 4665]","[[19.623, 55.04618], [62.09714, 94.34714]]","[[981, 2752], [3105, 4717]]",02,02,01,"[35.42318, 32.24999999999999]",67.67318,0.71
02_02_02,47.1,50,"[17.138, 18.068, 19.09, 20.068, 20.971, 22.058, 23.154, 24.329, 25.249, 26.035, 27.156, 28.093, 29.189, 30.289, 31.434, 32.571, 33.596, 34.651, 35.74, 36.874, 38.09, 39.124]","[857, 903, 954, 1003, 1049, 1103, 1158, 1216, 1262, 1302, 1358, 1405, 1459, 1514, 1572, 1629, 1680, 1733, 1787, 1844, 1905, 1956]","[[17.101, 40.12839]]","[[855, 2006]]",02,02,02,[23.027390000000004],23.027390000000004,0.49
02_02_03,23.58,50,"[11.456, 12.561, 13.543, 14.737, 15.721, 10.282]","[573, 628, 677, 737, 786, 514]","[[10.27309, 16.73142]]","[[514, 837]]",02,02,03,[6.45833],6.45833,0.27
02_02_04,23.94,50,[],[],[],[],02,02,04,[],0.0,0.0
02_02_05,25.36,50,[],[],[],[],02,02,05,[],0.0,0.0
