video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_03_01,169.74,50,"[33.827, 34.936, 57.716, 58.923, 61.915, 72.603, 73.969, 76.035, 78.363, 80.274, 85.515, 86.115, 88.651, 89.827, 91.299, 93.691, 127.107, 128.291, 129.666, 130.923, 132.242, 134.827, 136.474, 153.099, 154.411]","[1691, 1747, 2886, 2946, 3096, 3630, 3698, 3802, 3918, 4014, 4276, 4306, 4433, 4491, 4565, 4685, 6355, 6415, 6483, 6546, 6612, 6741, 6824, 7655, 7721]","[[32.76355, 36.51355], [57.01355, 63.13855], [72.139, 95.26355], [126.471, 138.13855], [152.38855, 156.01355]]","[[1638, 1826], [2851, 3157], [3607, 4763], [6324, 6907], [7619, 7801]]",01,03,01,"[3.75, 6.125, 23.12455, 11.667550000000006, 3.625]",48.292100000000005,0.28
01_03_02,135.2,50,"[4.191, 3.052, 5.212, 12.21, 13.107, 11.214, 16.095, 17.005, 18.2, 19.498, 20.84, 21.833, 22.971, 24.096, 25.057, 25.944, 27.01, 27.93, 29.218, 30.353, 65.581, 64.342, 63.089, 66.57, 68.112, 69.106, 70.171, 71.248, 72.584, 84.025, 82.445, 85.39, 86.518, 87.749, 89.006, 90.021, 91.174, 92.391, 93.573, 94.567, 95.623, 97.03, 98.198, 99.151, 100.239, 101.398, 102.383, 103.351, 104.381, 105.23, 106.645, 107.666, 108.854, 110.005, 111.166, 112.045, 113.069, 114.168, 115.325, 116.415, 117.343, 118.149, 119.077, 120.375, 121.533, 122.622, 123.663, 124.59, 125.653, 126.879, 127.919, 128.901, 130.173, 131.413, 132.373, 133.366]","[210, 153, 261, 610, 655, 561, 805, 850, 910, 975, 1042, 1092, 1149, 1205, 1253, 1297, 1350, 1396, 1461, 1518, 3279, 3217, 3154, 3328, 3406, 3455, 3509, 3562, 3629, 4201, 4122, 4270, 4326, 4387, 4450, 4501, 4559, 4620, 4679, 4728, 4781, 4852, 4910, 4958, 5012, 5070, 5119, 5168, 5219, 5262, 5332, 5383, 5443, 5500, 5558, 5602, 5653, 5708, 5766, 5821, 5867, 5907, 5954, 6019, 6077, 6131, 6183, 6230, 6283, 6344, 6396, 6445, 6509, 6571, 6619, 6668]","[[3.00226, 6.18976], [11.162, 14.10642], [16.08559, 31.35642], [63.02771, 73.60271], [82.35542, 134.56927]]","[[150, 309], [558, 705], [804, 1568], [3151, 3680], [4118, 6728]]",01,03,02,"[3.1874999999999996, 2.944419999999999, 15.27083, 10.575000000000003, 52.213849999999994]",84.1916,0.62
01_03_03,155.94,50,"[8.816, 6.919, 7.962, 10.161, 11.159, 39.988, 40.941, 42.227, 48.986, 50.087, 51.158, 52.045, 53.088, 54.089, 55.346, 56.715, 57.81, 58.693, 59.738, 60.73, 61.796, 65.859, 67.226, 64.446, 63.053, 68.366, 69.583, 70.834, 72.174, 73.495, 76.382, 74.882, 77.79, 78.814, 79.925, 81.332, 82.694, 84.271, 85.669, 86.789, 87.929, 88.869, 89.853, 91.093, 92.331, 93.571, 94.677, 95.811, 96.802, 97.786, 98.948, 100.028, 101.562, 102.857, 103.946, 105.25, 106.578, 107.531, 108.531, 109.707, 110.828, 111.835, 112.9, 113.94, 114.994, 116.219, 117.378, 118.498, 119.515, 120.868, 121.943, 122.948, 124.1, 125.211, 126.588, 128.106, 129.506, 130.749, 131.977, 133.02, 134.188, 135.438, 136.564, 137.692, 138.634, 139.81, 141.045, 142.202, 144.218, 145.252, 146.476, 147.41, 148.762, 149.955, 151.121, 152.082, 153.053, 154.3, 155.373]","[441, 346, 398, 508, 558, 1999, 2047, 2111, 2449, 2504, 2558, 2602, 2654, 2704, 2767, 2836, 2890, 2935, 2987, 3036, 3090, 3293, 3361, 3222, 3153, 3418, 3479, 3542, 3609, 3675, 3819, 3744, 3890, 3941, 3996, 4067, 4135, 4214, 4283, 4339, 4396, 4443, 4493, 4555, 4617, 4679, 4734, 4791, 4840, 4889, 4947, 5001, 5078, 5143, 5197, 5262, 5329, 5377, 5427, 5485, 5541, 5592, 5645, 5697, 5750, 5811, 5869, 5925, 5976, 6043, 6097, 6147, 6205, 6261, 6329, 6405, 6475, 6537, 6599, 6651, 6709, 6772, 6828, 6885, 6932, 6990, 7052, 7110, 7211, 7263, 7324, 7370, 7438, 7498, 7556, 7604, 7653, 7715, 7769]","[[6.89809, 12.18976], [39.96059, 43.18976], [48.96059, 155.75903]]","[[345, 609], [1998, 2159], [2448, 7788]]",01,03,03,"[5.29167, 3.2291699999999963, 106.79844]",115.31927999999999,0.74
01_03_04,72.24,50,"[24.745, 25.658, 26.848, 27.979, 29.034, 30.281, 31.386, 32.498, 33.554, 34.881, 35.824, 36.872, 37.803, 39.05, 40.112, 41.431, 42.8, 44.011, 45.424, 48.023, 49.13, 46.56, 50.332, 51.544, 58.413, 59.338, 60.622, 61.993, 63.151, 64.145, 65.469]","[1237, 1283, 1342, 1399, 1452, 1514, 1569, 1625, 1678, 1744, 1791, 1844, 1890, 1952, 2006, 2072, 2140, 2201, 2271, 2401, 2456, 2328, 2517, 2577, 2921, 2967, 3031, 3100, 3158, 3207, 3273]","[[24.726, 52.54618], [58.42118, 66.54618]]","[[1236, 2627], [2921, 3327]]",01,03,04,"[27.82018, 8.125000000000007]",35.94518000000001,0.5
01_03_05,59.92,50,"[26.671, 27.409, 28.003, 28.86, 29.663, 30.509, 25.828]","[1334, 1370, 1400, 1443, 1483, 1525, 1291]","[[25.73142, 31.58559]]","[[1287, 1579]]",01,03,05,[5.85417],5.85417,0.1
02_03_01,139.7,50,"[28.046, 28.908, 29.549, 30.776, 32.116, 33.326, 34.762, 35.981, 37.298, 38.34, 39.333, 40.494, 41.597, 42.816, 43.958, 44.916, 45.958, 47.245, 48.231, 49.198, 50.068, 51.129, 52.048, 53.431, 54.421, 55.8, 56.986, 58.037, 59.021, 60.381, 94.466, 94.781, 89.792, 91.568, 93.081, 96.184, 97.499, 98.714, 99.904, 101.081, 102.42, 103.728, 104.963, 106.096, 107.475, 108.587, 109.955, 111.434, 112.548, 113.73, 114.968, 130.565, 131.625, 132.505, 133.792, 134.985, 136.506, 137.672, 138.481]","[1402, 1445, 1477, 1539, 1606, 1666, 1738, 1799, 1865, 1917, 1967, 2025, 2080, 2141, 2198, 2246, 2298, 2362, 2412, 2460, 2503, 2556, 2602, 2672, 2721, 2790, 2849, 2902, 2951, 3019, 4723, 4739, 4490, 4578, 4654, 4809, 4875, 4936, 4995, 5054, 5121, 5186, 5248, 5305, 5374, 5429, 5498, 5572, 5627, 5686, 5748, 6528, 6581, 6625, 6690, 6749, 6825, 6884, 6924]","[[27.481, 61.50542], [88.607, 116.00452], [130.437, 139.58785]]","[[1374, 3075], [4430, 5800], [6522, 6979]]",02,03,01,"[34.02442, 27.39752, 9.150849999999991]",70.57279,0.51
02_03_02,180.2,50,"[15.955, 16.955, 14.72, 18.099, 19.282, 20.713, 22.002, 22.881, 23.762, 36.329, 37.154, 38.097, 39.218, 40.842, 41.938, 43.417, 45.028, 46.075, 47.25, 48.617, 49.706, 50.81, 51.825, 53.155, 54.265, 55.356, 56.593, 57.737, 58.745, 59.865, 60.771, 61.798, 62.858, 64.034, 64.986, 66.388, 67.305, 68.323, 69.423, 70.49, 71.651, 72.867, 74.274, 75.466, 77.876, 76.926, 79.401, 80.753, 81.771, 82.953, 84.187, 85.506, 86.651, 87.771, 88.924, 89.876, 91.123, 92.395, 93.689, 94.795, 96.073, 97.52, 98.931, 100.236, 101.523, 102.836, 103.989, 105.123, 106.394, 107.579, 108.563, 109.962, 111.105, 112.227, 113.362, 114.57, 116.145, 117.298, 118.516, 119.672, 120.817, 121.773, 122.745, 123.97, 125.21, 126.418, 127.426, 128.613, 129.736, 130.658, 131.849, 133.009, 134.27, 135.377, 136.627, 137.975, 139.011, 140.009, 140.993, 142.08, 143.264, 144.429, 145.513, 146.616, 147.768, 148.849, 149.915, 151.098, 152.17, 153.297, 154.457, 155.572, 156.697, 157.912, 158.817, 159.945, 161.346, 164.642, 162.545, 163.492, 165.743, 166.933, 168.087, 169.27, 170.333, 172.528, 171.367, 173.767, 174.831, 176.099, 177.135, 178.482, 179.423]","[798, 848, 736, 905, 964, 1036, 1100, 1144, 1188, 1816, 1858, 1905, 1961, 2042, 2097, 2171, 2251, 2304, 2362, 2431, 2485, 2540, 2591, 2658, 2713, 2768, 2830, 2887, 2937, 2993, 3039, 3090, 3143, 3202, 3249, 3319, 3365, 3416, 3471, 3524, 3583, 3643, 3714, 3773, 3894, 3846, 3970, 4038, 4089, 4148, 4209, 4275, 4333, 4389, 4446, 4494, 4556, 4620, 4684, 4740, 4804, 4876, 4947, 5012, 5076, 5142, 5199, 5256, 5320, 5379, 5428, 5498, 5555, 5611, 5668, 5728, 5807, 5865, 5926, 5984, 6041, 6089, 6137, 6198, 6260, 6321, 6371, 6431, 6487, 6533, 6592, 6650, 6714, 6769, 6831, 6899, 6951, 7000, 7050, 7104, 7163, 7221, 7276, 7331, 7388, 7442, 7496, 7555, 7608, 7665, 7723, 7779, 7835, 7896, 7941, 7997, 8067, 8232, 8127, 8175, 8287, 8347, 8404, 8464, 8517, 8626, 8568, 8688, 8742, 8805, 8857, 8924, 8971]","[[14.68976, 24.75226], [36.29392, 180.01355]]","[[734, 1238], [1815, 9001]]",02,03,02,"[10.0625, 143.71963]",153.78213,0.85
02_03_03,74.22,50,"[6.361, 7.178, 8.228, 9.305, 19.651, 20.324, 21.2, 22.683, 23.603, 24.784, 25.766, 27.117, 30.204, 31.258, 32.622, 33.592, 41.675, 39.149, 40.445, 42.818, 46.081, 44.016, 45.157, 47.294, 48.501, 55.79, 53.773, 54.657, 52.666, 59.294, 57.059, 58.307, 60.505, 61.569]","[318, 359, 411, 465, 983, 1016, 1060, 1134, 1180, 1239, 1288, 1356, 1510, 1563, 1631, 1680, 2084, 1957, 2022, 2141, 2304, 2201, 2258, 2365, 2425, 2790, 2689, 2733, 2633, 2965, 2853, 2915, 3025, 3078]","[[6.356, 10.29392], [19.588, 28.10642], [30.21059, 34.60642], [39.06476, 49.52309], [52.58559, 62.56476]]","[[318, 515], [979, 1405], [1511, 1730], [1953, 2476], [2629, 3128]]",02,03,03,"[3.93792, 8.518419999999999, 4.39583, 10.458330000000004, 9.979169999999996]",37.28967,0.5
02_03_04,65.22,50,"[6.275, 7.025, 7.89, 5.038, 9.176, 10.162, 30.386, 31.4, 27.124, 28.219, 29.219, 32.38, 33.426, 34.458, 35.642, 36.894, 54.818, 53.742, 55.892]","[314, 351, 394, 252, 459, 508, 1519, 1570, 1356, 1411, 1461, 1619, 1671, 1723, 1782, 1845, 2741, 2687, 2795]","[[4.947, 11.18976], [27.042, 37.91968], [53.729, 56.91968]]","[[247, 559], [1352, 1896], [2686, 2846]]",02,03,04,"[6.24276, 10.877679999999998, 3.1906800000000004]",20.31112,0.31
02_03_05,61.4,50,"[6.291, 6.802, 7.875, 8.811, 16.483, 17.408, 18.243, 18.75, 19.55, 20.567, 22.04, 22.769, 23.392, 23.814, 24.847, 34.902, 35.367, 35.743, 34.117, 33.08, 15.073, 15.81, 31.354, 32.35]","[315, 340, 394, 441, 824, 870, 912, 938, 978, 1028, 1102, 1138, 1170, 1191, 1242, 1745, 1768, 1787, 1706, 1654, 754, 790, 1568, 1618]","[[6.012, 9.85642], [15.04392, 25.89809], [31.32771, 36.80271]]","[[301, 493], [752, 1295], [1566, 1840]]",02,03,05,"[3.8444200000000004, 10.85417, 5.474999999999998]",20.173589999999997,0.33
