video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_02_01,29.64,50,"[3.798, 7.207, 9.072, 11.045, 12.841, 14.71, 18.038]","[190, 360, 454, 552, 642, 736, 902]","[[3.75226, 19.02309]]","[[188, 951]]",01,02,01,[15.27083],15.27083,0.52
01_02_02,19.6,50,[],[],[],[],01,02,02,[],0.0,0.0
01_02_03,18.52,50,[],[],[],[],01,02,03,[],0.0,0.0
01_02_04,17.1,50,[],[],[],[],01,02,04,[],0.0,0.0
01_02_05,23.08,50,"[11.014, 12.29, 13.554, 14.833, 9.697]","[551, 614, 678, 742, 485]","[[9.60642, 15.85642]]","[[480, 793]]",01,02,05,[6.25],6.25,0.27
01_03_01,51.24,50,"[8.837, 9.709, 11.445, 12.893, 14.165, 29.501, 29.948, 31.493, 32.589, 33.933, 35.285, 38.261]","[442, 485, 572, 645, 708, 1475, 1497, 1575, 1629, 1697, 1764, 1913]","[[6.245, 15.14809], [29.22, 39.28079]]","[[312, 757], [1461, 1964]]",01,03,01,"[8.903089999999999, 10.060790000000004]",18.963880000000003,0.37
01_03_02,29.96,50,"[3.701, 5.023, 6.147, 7.355, 8.74, 10.161, 11.252, 12.322, 2.804]","[185, 251, 307, 368, 437, 508, 563, 616, 140]","[[2.75226, 13.31476]]","[[138, 666]]",01,03,02,[10.5625],10.5625,0.35
01_03_03,21.46,50,[],[],[],[],01,03,03,[],0.0,0.0
01_03_04,23.8,50,[],[],[],[],01,03,04,[],0.0,0.0
01_03_05,25.96,50,"[5.599, 6.389, 7.487, 8.856, 10.19, 11.671, 19.725, 20.754, 21.804, 23.179, 24.452]","[280, 319, 374, 443, 510, 584, 986, 1038, 1090, 1159, 1223]","[[5.444, 12.66892], [19.604, 25.54392]]","[[272, 633], [980, 1277]]",01,03,05,"[7.22492, 5.939920000000001]",13.164840000000002,0.51
01_04_01,93.46,50,"[7.889, 9.047, 10.634, 13.409, 17.395, 20.297, 22.079, 53.232, 53.872, 55.143, 56.256, 58.16, 59.489, 60.977, 64.544, 66.673, 68.801, 69.607, 71.777]","[394, 452, 532, 670, 870, 1015, 1104, 2662, 2694, 2757, 2813, 2908, 2974, 3049, 3227, 3334, 3440, 3480, 3589]","[[6.47523, 23.08634], [52.833, 72.8919]]","[[324, 1154], [2642, 3645]]",01,04,01,"[16.61111, 20.05890000000001]",36.670010000000005,0.39
01_04_02,39.3,50,"[3.826, 4.601, 5.523, 6.266, 7.283, 8.209, 25.355, 26.379, 27.235, 28.394, 24.512]","[191, 230, 276, 313, 364, 410, 1268, 1319, 1362, 1420, 1226]","[[3.79392, 9.21059], [24.43976, 29.43976]]","[[190, 461], [1222, 1472]]",01,04,02,"[5.41667, 5.0]",10.41667,0.27
01_04_03,40.74,50,"[17.382, 18.532, 19.834, 20.618, 21.301, 21.956, 22.554, 23.481, 24.346, 25.346, 26.273, 27.277, 28.308, 29.162]","[869, 927, 992, 1031, 1065, 1098, 1128, 1174, 1217, 1267, 1314, 1364, 1415, 1458]","[[17.35642, 30.16892]]","[[868, 1508]]",01,04,03,[12.8125],12.8125,0.31
01_04_04,110.74,50,"[10.643, 11.675, 14.21, 12.556, 13.241, 15.121, 16.241, 17.33, 18.357, 19.371, 20.284, 21.147, 22.204, 23.197, 24.077, 24.935, 25.994, 26.971, 27.835, 28.54, 29.371, 36.564, 37.203, 38.133, 39.078, 39.821, 40.615, 41.509, 42.467, 43.507, 44.324, 45.107, 45.877, 47.459, 49.116, 49.947, 50.93, 51.804, 52.868, 53.898, 54.925, 56.044, 56.923, 57.548, 58.551, 59.701, 60.683, 61.565, 62.481, 63.139, 63.964, 64.764, 65.732, 66.507, 67.419, 68.396, 69.411, 70.285, 71.222, 71.964, 72.764, 73.976, 74.78, 75.829, 76.908, 77.651, 78.58, 79.724, 80.484, 81.183, 81.957, 82.853, 84.181, 85.141, 86.076, 87.269, 88.054, 89.349, 90.427, 91.491, 92.667, 93.604, 94.501, 95.276, 96.045, 96.893, 97.715, 98.636, 99.46, 100.101, 100.769, 101.611, 102.636, 103.452, 104.293, 105.188]","[532, 584, 710, 628, 662, 756, 812, 866, 918, 969, 1014, 1057, 1110, 1160, 1204, 1247, 1300, 1349, 1392, 1427, 1469, 1828, 1860, 1907, 1954, 1991, 2031, 2075, 2123, 2175, 2216, 2255, 2294, 2373, 2456, 2497, 2546, 2590, 2643, 2695, 2746, 2802, 2846, 2877, 2928, 2985, 3034, 3078, 3124, 3157, 3198, 3238, 3287, 3325, 3371, 3420, 3471, 3514, 3561, 3598, 3638, 3699, 3739, 3791, 3845, 3883, 3929, 3986, 4024, 4059, 4098, 4143, 4209, 4257, 4304, 4363, 4403, 4467, 4521, 4575, 4633, 4680, 4725, 4764, 4802, 4845, 4886, 4932, 4973, 5005, 5038, 5081, 5132, 5173, 5215, 5259]","[[10.557, 30.35642], [36.52519, 106.25677]]","[[528, 1518], [1826, 5313]]",01,04,04,"[19.799419999999998, 69.73158000000001]",89.531,0.81
01_04_05,33.52,50,"[5.505, 6.594, 7.736, 9.082, 10.252, 11.456]","[275, 330, 387, 454, 513, 573]","[[5.48142, 12.43976]]","[[274, 622]]",01,04,05,[6.95834],6.95834,0.21
01_05_01,105.56,50,"[12.746, 13.349, 23.882, 24.345, 25.151, 26.594, 27.696, 29.369, 31.305, 33.303, 34.346, 35.637, 37.681, 70.361, 71.706, 72.744, 74.431, 78.596, 79.179, 81.384, 84.313]","[637, 667, 1194, 1217, 1258, 1330, 1385, 1468, 1565, 1665, 1717, 1782, 1884, 3518, 3585, 3637, 3722, 3930, 3959, 4069, 4216]","[[10.926, 14.47214], [23.668, 38.75339], [70.34714, 85.37839]]","[[546, 724], [1183, 1938], [3517, 4269]]",01,05,01,"[3.5461399999999994, 15.085390000000004, 15.03125]",33.662780000000005,0.32
01_05_02,35.74,50,[],[],[],[],01,05,02,[],0.0,0.0
01_05_03,31.26,50,[],[],[],[],01,05,03,[],0.0,0.0
01_05_04,33.54,50,[],[],[],[],01,05,04,[],0.0,0.0
01_05_05,30.2,50,[],[],[],[],01,05,05,[],0.0,0.0
02_02_01,39.14,50,"[12.156, 12.86, 14.099, 15.443, 16.5, 18.308, 19.962, 20.858, 22.242, 23.772, 24.909, 26.324, 27.613, 28.803, 30.124, 31.38, 32.837]","[608, 643, 705, 772, 825, 915, 998, 1043, 1112, 1189, 1245, 1316, 1381, 1440, 1506, 1569, 1642]","[[12.11412, 33.8919]]","[[606, 1695]]",02,02,01,[21.77778],21.77778,0.56
02_02_02,21.82,50,[],[],[],[],02,02,02,[],0.0,0.0
02_02_03,22.84,50,"[12.565, 13.301, 14.152, 15.312, 16.481, 17.24, 18.305, 10.682, 11.97, 8.711, 9.722]","[628, 665, 708, 766, 824, 862, 915, 534, 598, 436, 486]","[[8.64809, 19.35642]]","[[432, 968]]",02,02,03,[10.70833],10.70833,0.47
02_02_04,16.82,50,[],[],[],[],02,02,04,[],0.0,0.0
02_02_05,45.2,50,"[13.44, 14.602, 15.928, 17.779, 19.418, 20.569, 22.099, 24.096, 26.338, 27.723, 28.928, 30.089, 31.267, 32.57, 34.323, 36.377, 37.93, 38.978, 40.314, 41.516]","[672, 730, 796, 889, 971, 1028, 1105, 1205, 1317, 1386, 1446, 1504, 1563, 1628, 1716, 1819, 1896, 1949, 2016, 2076]","[[13.44089, 42.53464]]","[[672, 2127]]",02,02,05,[29.093750000000004],29.093750000000004,0.64
02_03_01,39.94,50,"[12.693, 13.018, 14.392, 17.776, 18.709, 30.039, 30.846, 31.823, 34.705, 35.703]","[635, 651, 720, 889, 935, 1502, 1542, 1591, 1735, 1785]","[[12.496, 19.68976], [29.494, 36.78079]]","[[625, 984], [1475, 1839]]",02,03,01,"[7.193759999999999, 7.286790000000003]",14.480550000000003,0.36
02_03_02,44.64,50,"[10.962, 11.625, 12.61, 13.689, 14.795, 16.05, 17.114, 18.098, 18.873, 19.673, 20.369, 21.329, 22.625, 23.706, 25.193, 26.465, 27.202, 28.677]","[548, 581, 630, 684, 740, 802, 856, 905, 944, 984, 1018, 1066, 1131, 1185, 1260, 1323, 1360, 1434]","[[10.93976, 29.64809]]","[[547, 1482]]",02,03,02,[18.70833],18.70833,0.42
02_03_03,42.74,50,"[13.258, 13.706, 14.616, 15.721, 17.074, 18.983, 19.937, 21.655, 23.903, 24.831, 26.2, 27.143, 28.294, 29.311, 30.345, 31.335, 32.441, 33.6, 34.577, 35.48, 36.754]","[663, 685, 731, 786, 854, 949, 997, 1083, 1195, 1242, 1310, 1357, 1415, 1466, 1517, 1567, 1622, 1680, 1729, 1774, 1838]","[[13.19089, 37.81589]]","[[660, 1891]]",02,03,03,[24.625000000000004],24.625000000000004,0.58
02_03_04,34.44,50,"[12.603, 13.46, 14.155, 14.916, 15.706, 16.426, 17.069, 17.61, 18.154, 18.737, 19.393, 20.066, 20.763, 21.54, 22.249, 23.076]","[630, 673, 708, 746, 785, 821, 853, 880, 908, 937, 970, 1003, 1038, 1077, 1112, 1154]","[[12.50226, 24.12726]]","[[625, 1206]]",02,03,04,[11.625],11.625,0.34
02_03_05,32.02,50,"[11.286, 12.061, 12.829, 13.845, 14.615, 15.468, 16.62, 17.706, 18.773, 19.898, 21.061, 22.133, 23.058]","[564, 603, 641, 692, 731, 773, 831, 885, 939, 995, 1053, 1107, 1153]","[[11.18976, 24.06476]]","[[559, 1203]]",02,03,05,[12.875],12.875,0.4
02_04_01,83.58,50,"[10.317, 13.061, 14.045, 20.67, 21.03, 22.654, 23.982, 26.988, 29.638, 32.995, 33.661, 34.76, 36.128, 38.517, 40.75, 45.838, 56.285, 56.925, 57.94, 61.779, 65.517, 68.227, 72.814, 77.891]","[516, 653, 702, 1034, 1052, 1133, 1199, 1349, 1482, 1650, 1683, 1738, 1806, 1926, 2038, 2292, 2814, 2846, 2897, 3089, 3276, 3411, 3641, 3895]","[[10.29618, 15.00452], [20.71285, 46.87952], [54.229, 78.85542]]","[[515, 750], [1036, 2344], [2711, 3943]]",02,04,01,"[4.70834, 26.16667, 24.626419999999996]",55.50143,0.66
