video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames),participantID,subactivityID,attemptID,struggle_durations,total_struggle_duration,struggle_proportions
01_05_01,105.56,50,"[12.746, 13.349, 23.882, 24.345, 25.151, 26.594, 27.696, 29.369, 31.305, 33.303, 34.346, 35.637, 37.681, 70.361, 71.706, 72.744, 74.431, 78.596, 79.179, 81.384, 84.313]","[637, 667, 1194, 1217, 1258, 1330, 1385, 1468, 1565, 1665, 1717, 1782, 1884, 3518, 3585, 3637, 3722, 3930, 3959, 4069, 4216]","[[10.926, 14.47214], [23.668, 38.75339], [70.34714, 85.37839]]","[[546, 724], [1183, 1938], [3517, 4269]]",01,05,01,"[3.5461399999999994, 15.085390000000004, 15.03125]",33.662780000000005,0.32
01_05_02,35.74,50,[],[],[],[],01,05,02,[],0.0,0.0
01_05_03,31.26,50,[],[],[],[],01,05,03,[],0.0,0.0
01_05_04,33.54,50,[],[],[],[],01,05,04,[],0.0,0.0
01_05_05,30.2,50,[],[],[],[],01,05,05,[],0.0,0.0
02_05_01,104.36,50,"[22.908, 24.181, 26.182, 27.328, 29.038, 31.199, 32.693, 35.958, 38.687, 41.392, 52.134, 52.389, 52.6, 53.753, 55.087, 56.621, 62.775, 64.19, 65.798, 67.832, 69.075, 70.526, 78.198, 78.544, 79.677, 80.806, 83.148, 84.725, 86.14, 91.995, 93.708, 94.765, 98.605, 100.583]","[1145, 1209, 1309, 1366, 1452, 1560, 1635, 1798, 1934, 2070, 2607, 2619, 2630, 2688, 2754, 2831, 3139, 3210, 3290, 3392, 3454, 3526, 3910, 3927, 3984, 4040, 4157, 4236, 4307, 4600, 4685, 4738, 4930, 5029]","[[22.886, 42.41968], [51.281, 57.61412], [62.661, 71.47523], [77.849, 87.11101], [91.715, 101.64673]]","[[1144, 2121], [2564, 2881], [3133, 3574], [3892, 4356], [4586, 5082]]",02,05,01,"[19.53368, 6.333120000000001, 8.814229999999995, 9.26200999999999, 9.931730000000002]",53.874769999999984,0.52
02_05_02,67.9,50,"[12.152, 14.864, 15.608, 16.578, 17.578, 18.785, 19.807, 21.002, 21.833, 22.817, 23.554, 24.392, 13.19, 13.96]","[608, 743, 780, 829, 879, 939, 990, 1050, 1092, 1141, 1178, 1220, 660, 698]","[[12.06476, 25.43976]]","[[603, 1272]]",02,05,02,[13.375],13.375,0.2
02_05_03,68.38,50,"[25.56, 26.454, 27.319, 28.183, 28.881, 29.968, 30.959, 32.071, 33.023, 33.847, 34.511, 35.127, 35.697, 36.545, 58.766, 59.16, 59.975, 60.79, 61.67, 62.814, 63.698, 52.604, 53.639, 55.024, 55.774, 56.931, 57.732]","[1278, 1323, 1366, 1409, 1444, 1498, 1548, 1604, 1651, 1692, 1726, 1756, 1785, 1827, 2938, 2958, 2999, 3040, 3084, 3141, 3185, 2630, 2682, 2751, 2789, 2847, 2887]","[[25.47214, 37.59714], [52.401, 64.75542]]","[[1274, 1880], [2620, 3238]]",02,05,03,"[12.125000000000004, 12.354419999999998]",24.47942,0.36
02_05_04,55.06,50,"[10.197, 10.827, 11.527, 8.796, 9.747, 27.013, 27.451, 28.432, 29.516, 30.307, 31.468, 32.364, 33.339, 34.045]","[510, 541, 576, 440, 487, 1351, 1373, 1422, 1476, 1515, 1573, 1618, 1667, 1702]","[[8.75226, 12.54392], [27.015, 35.10271]]","[[438, 627], [1351, 1755]]",02,05,04,"[3.7916600000000003, 8.087710000000001]",11.879370000000002,0.22
02_05_05,175.94,50,"[62.901, 63.83, 64.918, 66.854, 67.67, 68.87, 69.51, 70.342, 71.439, 72.327, 73.802, 74.999, 87.537, 88.416, 89.088, 90.602, 91.248, 92.094, 93.487, 120.065, 120.801, 121.758, 122.438, 123.102, 123.822, 124.502, 125.126, 126.279, 126.974, 127.8, 128.677, 129.494, 130.285, 130.966, 131.63, 132.43, 133.286, 134.096, 134.885, 135.72, 149.862, 151.038, 151.695, 153.078, 154.352, 155.254, 156.266, 157.632, 158.925, 160.723, 162.567, 163.447, 163.878, 164.816, 165.973, 167.1, 168.14, 169.383, 170.302, 171.32]","[3145, 3192, 3246, 3343, 3384, 3444, 3476, 3517, 3572, 3616, 3690, 3750, 4377, 4421, 4454, 4530, 4562, 4605, 4674, 6003, 6040, 6088, 6122, 6155, 6191, 6225, 6256, 6314, 6349, 6390, 6434, 6475, 6514, 6548, 6582, 6622, 6664, 6705, 6744, 6786, 7493, 7552, 7585, 7654, 7718, 7763, 7813, 7882, 7946, 8036, 8128, 8172, 8194, 8241, 8299, 8355, 8407, 8469, 8515, 8566]","[[62.899, 76.00542], [87.38177, 94.56927], [120.00301, 136.72523], [149.783, 172.37952]]","[[3145, 3800], [4369, 4728], [6000, 6836], [7489, 8619]]",02,05,05,"[13.10642, 7.1875, 16.722220000000007, 22.596520000000027]",59.612660000000034,0.34
